Date,EURUSD,JPYUSD,JPYEUR
2010-01-01,1.387694001197815,0.011082787998020649,0.007980000227689743
2010-02-01,1.3637913465499878,0.011249859817326069,0.008249999955296516
2010-03-01,1.3508037328720093,0.0106929000467062,0.007910000160336494
2010-04-01,1.3298048973083496,0.01065757218748331,0.008009999990463257
2010-05-01,1.2287880182266235,0.010966114699840546,0.008919999934732914
2010-06-01,1.223002314567566,0.011308379471302032,0.009239999577403069
2010-07-01,1.3040019273757935,0.011567380279302597,0.008870000019669533
2010-08-01,1.266592264175415,0.011829840019345284,0.009340000338852406
2010-09-01,1.3628062009811401,0.011938017792999744,0.00875999964773655
2010-10-01,1.377808928489685,0.012243049219250679,0.0088900001719594
2010-11-01,1.3103927373886108,0.011868872679769993,0.009060000069439411
2010-12-01,1.3301233053207397,0.012272950261831284,0.009220000356435776
2011-01-01,1.3572757244110107,0.012181900441646576,0.008969999849796295
2011-02-01,1.373437762260437,0.012251598760485649,0.008919999934732914
2011-03-01,1.4121301174163818,0.01202645804733038,0.00851999968290329
2011-04-01,1.4820963144302368,0.012265424244105816,0.008259999565780163
2011-05-01,1.4322338104248047,0.012363996356725693,0.008630000054836273
2011-06-01,1.4478904008865356,0.012390038929879665,0.008559999987483025
2011-07-01,1.4331985712051392,0.012865045107901096,0.008969999849796295
2011-08-01,1.4433138370513916,0.01303764060139656,0.009030000306665897
2011-09-01,1.3585848808288574,0.013026770204305649,0.009589999914169312
2011-10-01,1.4140071868896484,0.013203063048422337,0.009329999797046185
2011-11-01,1.3324095010757446,0.012827090919017792,0.009630000218749046
2011-12-01,1.2956053018569946,0.01287680771201849,0.009940000250935555
2012-01-01,1.3139568567276,0.013095861300826073,0.009960000403225422
2012-02-01,1.3477997779846191,0.012425446882843971,0.009220000356435776
2012-03-01,1.334507703781128,0.012068549171090126,0.009050000458955765
2012-04-01,1.3241524696350098,0.012445551343262196,0.009399999864399433
2012-05-01,1.2374706268310547,0.01266111247241497,0.010230000130832195
2012-06-01,1.266496181488037,0.012529758736491203,0.009890000335872173
2012-07-01,1.2259409427642822,0.012803933583199978,0.010440000332891941
2012-08-01,1.2510946989059448,0.012733987532556057,0.010169999673962593
2012-09-01,1.284505009651184,0.012826762162148952,0.009979999624192715
2012-10-01,1.2962603569030762,0.012549570761620998,0.009680000133812428
2012-11-01,1.2973533868789673,0.012172706425189972,0.009379999712109566
2012-12-01,1.3227688074111938,0.011633317917585373,0.008790000341832638
2013-01-01,1.3568336963653564,0.01098647527396679,0.008089999668300152
2013-02-01,1.3150973320007324,0.01083388365805149,0.008229999803006649
2013-03-01,1.2807868719100952,0.010606703348457813,0.00827999971807003
2013-04-01,1.3095861673355103,0.010218262672424316,0.007799999788403511
2013-05-01,1.3043931722640991,0.009891197085380554,0.007579999975860119
2013-06-01,1.3013039827346802,0.010062387213110924,0.00773000018671155
2013-07-01,1.3264886140823364,0.010202416218817234,0.007689999882131815
2013-08-01,1.3224014043807983,0.01018848642706871,0.007699999958276749
2013-09-01,1.349545955657959,0.010222126729786396,0.007569999899715185
