Date,SPY,QQQ,EXSA,JPXN
2010-01-01,82.04276275634766,37.48838806152344,17.53615379333496,33.22464370727539
2010-02-01,84.60205078125,39.214317321777344,17.48679542541504,33.479209899902344
2010-03-01,89.38452911376953,42.19304656982422,18.826513290405273,35.207157135009766
2010-04-01,91.1410903930664,43.1852912902832,18.579715728759766,34.62860107421875
2010-05-01,83.89948272705078,39.99288558959961,17.733585357666016,31.97495460510254
2010-06-01,79.1817626953125,37.45824432373047,17.373977661132812,30.702133178710938
2010-07-01,84.99237823486328,40.33234405517578,18.262414932250977,32.519954681396484
2010-08-01,81.16935729980469,38.26334762573242,17.938072204589844,31.70501136779785
2010-09-01,87.96749877929688,43.20254898071289,18.565624237060547,33.44355392456055
2010-10-01,91.81700897216797,46.04825973510742,19.023937225341797,33.800559997558594
2010-11-01,91.81700897216797,45.968841552734375,18.79829978942871,34.716407775878906
2010-12-01,97.44271850585938,48.060325622558594,19.750205993652344,36.88958740234375
2011-01-01,100.23751831054688,49.51734161376953,19.96173667907715,37.19383239746094
2011-02-01,103.71951293945312,51.08245086669922,20.377758026123047,39.3259162902832
2011-03-01,103.28330993652344,50.781803131103516,19.707901000976562,35.14796829223633
2011-04-01,106.7362060546875,52.31451416015625,20.384811401367188,35.72802734375
2011-05-01,105.5392074584961,51.67694854736328,20.34250259399414,34.857948303222656
2011-06-01,103.24691772460938,50.5169677734375,19.439958572387695,35.26555633544922
2011-07-01,101.68317413330078,51.47335433959961,18.939327239990234,36.48947525024414
2011-08-01,96.09304809570312,48.864192962646484,17.035518646240234,33.34259796142578
2011-09-01,88.9619369506836,46.5833854675293,16.175281524658203,31.911495208740234
2011-10-01,99.18238830566406,51.52436065673828,17.35987091064453,32.0458984375
2011-11-01,98.77932739257812,50.1373291015625,17.106037139892578,32.0458984375
2011-12-01,99.18238830566406,49.639434814453125,17.465648651123047,30.583158493041992
2012-01-01,104.44011688232422,54.02424621582031,18.19895362854004,32.67980194091797
2012-02-01,108.973388671875,57.48720932006836,18.953428268432617,34.45344161987305
2012-03-01,111.98760986328125,60.28974151611328,18.741899490356445,34.878787994384766
2012-04-01,111.72747802734375,59.685794830322266,18.45279884338379,33.61879348754883
2012-05-01,105.01763153076172,55.48382568359375,17.373977661132812,30.520954132080078
2012-06-01,108.716064453125,57.36130142211914,17.987428665161133,32.222354888916016
2012-07-01,110.57209777832031,58.066627502441406,18.69959259033203,31.49727439880371
2012-08-01,113.34224700927734,61.077518463134766,19.038043975830078,31.464879989624023
2012-09-01,115.59844970703125,61.44490051269531,19.115604400634766,31.829429626464844
2012-10-01,114.10063171386719,58.36702346801758,19.270727157592773,31.35955810546875
2012-11-01,114.74639129638672,59.13087844848633,19.700857162475586,32.809669494628906
2012-12-01,114.95624542236328,58.52880096435547,19.95469093322754,34.389400482177734
2013-01-01,121.69794464111328,60.42713165283203,20.525833129882812,35.585243225097656
2013-02-01,123.25067138671875,60.63494873046875,20.72325897216797,36.49559020996094
2013-03-01,127.36420440673828,62.32478713989258,20.920692443847656,38.34907150268555
2013-04-01,130.38848876953125,64.05409240722656,21.449270248413086,41.41635513305664
2013-05-01,133.46693420410156,66.34558868408203,21.94643783569336,38.58690643310547
2013-06-01,130.99276733398438,64.55223083496094,20.469139099121094,39.530059814453125
2013-07-01,138.49102783203125,68.8451919555664,21.896774291992188,39.367488861083984
2013-08-01,134.3373260498047,68.5726089477539,21.774282455444336,38.7326545715332
2013-09-01,137.91641235351562,71.67092895507812,22.559656143188477,42.13762664794922
2013-10-01,145.00621032714844,75.44949340820312,23.700931549072266,42.48390197753906
2013-11-01,149.3038787841797,78.1288070678711,23.91924476623535,43.03628921508789
2013-12-01,152.34768676757812,80.16105651855469,23.94834327697754,43.42377471923828
2014-01-01,147.77565002441406,78.87068176269531,23.705434799194336,40.82475280761719
2014-02-01,154.50177001953125,82.59159088134766,24.89764404296875,41.364646911621094
2014-03-01,155.0989227294922,80.48329162597656,24.605072021484375,40.318084716796875
2014-04-01,156.8663787841797,80.40972137451172,25.116098403930664,39.313018798828125
2014-05-01,160.50669860839844,84.0166244506836,25.85739517211914,41.27327346801758
2014-06-01,163.0390625,86.40894317626953,25.37299156188965,42.86805725097656
2014-07-01,161.6189727783203,87.66520690917969,25.298555374145508,43.0363655090332
2014-08-01,167.9970703125,92.05677795410156,25.76691436767578,42.359222412109375
2014-09-01,164.90846252441406,91.14341735839844,25.573627471923828,42.04990005493164
2014-10-01,169.58119201660156,93.7739486694336,25.464380264282227,43.11996841430664
2014-11-01,174.23997497558594,98.03724670410156,26.328462600708008,41.707149505615234
2014-12-01,172.84397888183594,95.48485565185547,25.734880447387695,40.528411865234375
2015-01-01,168.64842224121094,93.84488677978516,27.90497589111328,41.47832107543945
2015-02-01,178.1272735595703,100.62102508544922,29.791471481323242,44.501190185546875
2015-03-01,174.5504913330078,98.02197265625,30.198942184448242,45.31797409057617
2015-04-01,177.05386352539062,100.13603210449219,30.320131301879883,46.56416702270508
2015-05-01,179.330078125,102.3875503540039,30.811845779418945,47.2883186340332
2015-06-01,174.8370361328125,99.61504364013672,29.1248722076416,46.58942794799805
2015-07-01,179.6561279296875,104.39481353759766,30.713457107543945,46.93471908569336
2015-08-01,168.7061004638672,97.27041625976562,28.14252281188965,44.17533874511719
2015-09-01,163.55108642578125,94.89252471923828,26.71167755126953,41.56833267211914
2015-10-01,178.38531494140625,105.93879699707031,29.25020980834961,45.30110549926758
2015-11-01,179.03732299804688,106.58379364013672,30.007944107055664,45.9105339050293
