Date,BTC_price
09-09-2012,10.98
10-09-2012,10.95
11-09-2012,11.04
12-09-2012,11.14
13-09-2012,11.3
14-09-2012,11.5
15-09-2012,11.63
16-09-2012,11.75
17-09-2012,11.85
18-09-2012,11.91
19-09-2012,12.32
20-09-2012,12.28
21-09-2012,12.19
22-09-2012,11.97
23-09-2012,11.99
24-09-2012,11.9
25-09-2012,11.75
26-09-2012,12.2
27-09-2012,12.22
28-09-2012,12.28
29-09-2012,12.28
30-09-2012,12.22
01-10-2012,12.14
02-10-2012,12.64
03-10-2012,12.9
04-10-2012,12.57
05-10-2012,12.5
06-10-2012,12.39
07-10-2012,11.71
08-10-2012,11.62
09-10-2012,11.99
10-10-2012,12.24
11-10-2012,12.09
12-10-2012,11.9
13-10-2012,11.85
14-10-2012,11.79
15-10-2012,11.66
16-10-2012,11.92
17-10-2012,11.88
18-10-2012,11.8
19-10-2012,11.67
20-10-2012,11.6
21-10-2012,11.32
22-10-2012,11.49
23-10-2012,11.58
24-10-2012,11.4
25-10-2012,10.55
26-10-2012,10.0
27-10-2012,10.43
28-10-2012,10.54
29-10-2012,10.8
30-10-2012,10.8
31-10-2012,11.0
01-11-2012,10.85
02-11-2012,10.67
03-11-2012,10.66
04-11-2012,10.64
05-11-2012,10.78
06-11-2012,10.74
07-11-2012,10.8
08-11-2012,10.81
09-11-2012,10.8
10-11-2012,10.81
11-11-2012,10.82
12-11-2012,10.87
13-11-2012,10.87
14-11-2012,10.97
15-11-2012,11.05
16-11-2012,11.46
17-11-2012,11.57
18-11-2012,11.51
19-11-2012,11.65
20-11-2012,11.65
21-11-2012,11.67
22-11-2012,11.88
23-11-2012,12.16
24-11-2012,12.25
25-11-2012,12.31
26-11-2012,12.2
27-11-2012,12.07
28-11-2012,12.22
29-11-2012,12.37
30-11-2012,12.43
01-12-2012,12.34
02-12-2012,12.42
03-12-2012,12.6
04-12-2012,12.59
05-12-2012,13.2
06-12-2012,13.45
07-12-2012,13.37
08-12-2012,13.36
09-12-2012,13.29
10-12-2012,13.3
11-12-2012,13.35
12-12-2012,13.49
13-12-2012,13.52
14-12-2012,13.51
15-12-2012,13.38
16-12-2012,13.27
17-12-2012,13.2
18-12-2012,13.13
19-12-2012,13.4
20-12-2012,13.35
21-12-2012,13.2
22-12-2012,13.2
23-12-2012,13.14
24-12-2012,13.23
25-12-2012,13.24
26-12-2012,13.18
27-12-2012,13.2
28-12-2012,13.18
29-12-2012,13.22
30-12-2012,13.2
31-12-2012,13.24
01-01-2013,13.22
02-01-2013,13.09
03-01-2013,13.19
04-01-2013,13.19
05-01-2013,13.15
06-01-2013,13.15
07-01-2013,13.2
08-01-2013,13.5
09-01-2013,13.58
10-01-2013,14.0
11-01-2013,14.0
12-01-2013,13.89
13-01-2013,13.64
14-01-2013,14.1
15-01-2013,14.2
16-01-2013,14.53
17-01-2013,15.36
18-01-2013,15.57
19-01-2013,15.38
20-01-2013,15.5
21-01-2013,16.52
22-01-2013,17.35
23-01-2013,17.5
24-01-2013,17.29
25-01-2013,17.49
26-01-2013,17.49
27-01-2013,17.6
28-01-2013,18.67
29-01-2013,19.35
30-01-2013,19.45
31-01-2013,20.46
01-02-2013,20.35
02-02-2013,19.82
03-02-2013,20.29
04-02-2013,20.3
05-02-2013,20.5
06-02-2013,20.91
07-02-2013,21.71
08-02-2013,22.4
09-02-2013,23.14
10-02-2013,23.7
11-02-2013,23.94
12-02-2013,25.47
13-02-2013,25.0
14-02-2013,27.4
15-02-2013,27.0
16-02-2013,27.5
17-02-2013,26.98
18-02-2013,26.92
19-02-2013,29.39
20-02-2013,30.0
21-02-2013,30.0
22-02-2013,30.4
23-02-2013,29.54
24-02-2013,29.78
25-02-2013,30.43
26-02-2013,31.1
27-02-2013,31.31
28-02-2013,33.53
01-03-2013,34.55
02-03-2013,34.16
03-03-2013,34.33
04-03-2013,36.52
05-03-2013,40.75
06-03-2013,42.32
07-03-2013,41.68
08-03-2013,43.76
09-03-2013,46.0
10-03-2013,45.29
11-03-2013,48.25
12-03-2013,44.84
13-03-2013,46.99
14-03-2013,46.95
15-03-2013,46.9
16-03-2013,46.74
17-03-2013,47.24
18-03-2013,50.35
19-03-2013,59.41
20-03-2013,64.2
21-03-2013,72.23
22-03-2013,69.9
23-03-2013,63.9
24-03-2013,70.22
25-03-2013,75.11
26-03-2013,79.81
27-03-2013,89.3
28-03-2013,88.52
29-03-2013,90.0
30-03-2013,92.11
31-03-2013,96.15
01-04-2013,104.7
02-04-2013,116.0
03-04-2013,133.78
04-04-2013,135.0
05-04-2013,141.8
06-04-2013,141.0
07-04-2013,164.97
08-04-2013,185.6
09-04-2013,229.0
10-04-2013,162.0
11-04-2013,83.4
12-04-2013,109.9
13-04-2013,91.64
14-04-2013,91.11
15-04-2013,74.0
16-04-2013,68.09
17-04-2013,89.98
18-04-2013,109.3
19-04-2013,117.71
20-04-2013,126.55
21-04-2013,118.81
22-04-2013,123.74
23-04-2013,137.29
24-04-2013,149.0
25-04-2013,141.9
26-04-2013,137.3
27-04-2013,128.8
28-04-2013,135.28
29-04-2013,143.31
30-04-2013,139.88
01-05-2013,116.75
02-05-2013,106.81
03-05-2013,98.08
04-05-2013,112.62
05-05-2013,116.57
06-05-2013,112.71
07-05-2013,110.0
08-05-2013,113.16
09-05-2013,111.96
10-05-2013,117.9
11-05-2013,115.04
12-05-2013,114.5
13-05-2013,115.99
14-05-2013,107.0
15-05-2013,108.95
16-05-2013,113.35
17-05-2013,116.73
18-05-2013,118.49
19-05-2013,116.38
20-05-2013,116.55
21-05-2013,117.5
22-05-2013,119.11
23-05-2013,123.84
24-05-2013,128.7
25-05-2013,128.97
26-05-2013,129.5
27-05-2013,126.25
28-05-2013,125.92
29-05-2013,130.35
30-05-2013,126.81
31-05-2013,127.91
01-06-2013,128.77
02-06-2013,123.0
03-06-2013,123.22
04-06-2013,120.57
05-06-2013,121.2
06-06-2013,118.78
07-06-2013,110.18
08-06-2013,109.11
09-06-2013,100.17
10-06-2013,104.22
11-06-2013,107.36
12-06-2013,106.56
13-06-2013,102.0
14-06-2013,99.01
15-06-2013,99.42
16-06-2013,99.37
17-06-2013,100.0
18-06-2013,104.5
19-06-2013,105.24
20-06-2013,102.61
21-06-2013,101.8
22-06-2013,100.0
23-06-2013,100.41
24-06-2013,99.47
25-06-2013,97.87
26-06-2013,98.77
27-06-2013,96.31
28-06-2013,89.96
29-06-2013,88.98
30-06-2013,89.53
01-07-2013,84.5
02-07-2013,88.0
03-07-2013,77.01
04-07-2013,79.4
05-07-2013,66.93
06-07-2013,66.34
07-07-2013,73.96
08-07-2013,74.4
09-07-2013,75.01
10-07-2013,86.19
11-07-2013,87.13
12-07-2013,90.17
13-07-2013,91.67
14-07-2013,90.03
15-07-2013,93.78
16-07-2013,91.55
17-07-2013,90.97
18-07-2013,85.28
19-07-2013,86.51
20-07-2013,85.04
21-07-2013,85.93
22-07-2013,85.6
23-07-2013,86.98
24-07-2013,88.42
25-07-2013,90.16
26-07-2013,89.95
27-07-2013,88.16
28-07-2013,92.71
29-07-2013,93.39
30-07-2013,96.57
31-07-2013,98.28
01-08-2013,96.62
