Date,BTC_Supply,BTC_USD,BalanceSheet_FED,BalanceSheet_global,Bitcoin_Wikipedia_Search,Dollar_Index,GLD,HashRate,M2_Liquidity,Miners_Revenue_USD,Mining_Difficulty,Nr_Addresses,Nr_Transactions,OIL_USD,QQQ,TLT,Ten_YR_USA,USD_OnChain_Volume,VIX
2014-01-17,12276225.0,894.16,4071528.0,14120.5879,37789.42857142857,81.26000213623047,120.93000030517578,13610.7058021159,11131.1,4385649.973656357,1789546951.05324,113316.57142857143,56367.57142857143,94.37000274658205,80.34257507324219,81.00891876220703,2.82699990272522,90402703.99491407,12.4399995803833
2014-01-24,12307775.0,916.55,4097914.0,14120.5685,37907.0,80.45999908447266,122.29000091552734,21375.1267539394,11100.9,4453458.72106661,2193847870.17428,122419.28571428571,61452.71428571428,96.63999938964844,79.30036926269531,82.5449447631836,2.734999895095825,88743946.78385766,18.13999938964844
2014-01-31,12336700.0,938.85,4102138.0,14174.1985,38186.142857142855,81.2699966430664,120.08999633789062,20066.4455241064,11033.2,4146278.02337036,2193847870.17428,126943.85714285714,59761.71428571428,97.48999786376952,78.87067413330078,83.15935516357422,2.6679999828338623,83444701.15763916,18.40999984741211
2014-02-07,12367525.0,695.65,4109285.0,14184.8883,33855.57142857143,80.69000244140625,122.16999816894533,21501.2691580754,11089.1,4206171.684979929,2621404453.06462,136322.85714285713,63274.71428571428,99.87999725341795,79.81233978271484,82.22457885742188,2.674999952316284,100108762.42786157,15.289999961853027
2014-02-14,12397200.0,427.68,4119474.0,14214.1746,24252.428571428572,80.12999725341797,127.1500015258789,24889.3479344994,11138.3,3460725.4347448056,2621404453.06462,131282.14285714287,65717.28571428571,100.3000030517578,82.10704803466797,82.06289672851562,2.746000051498413,80512836.8377765,13.56999969482422
2014-02-21,12427925.0,111.56,4149224.0,14238.8133,25671.0,80.23999786376953,127.58000183105467,26136.0836236347,11187.0,3430283.218457644,3129573174.52229,140896.85714285713,65194.857142857145,102.1999969482422,82.21675872802734,82.1321792602539,2.733999967575073,72272957.91309376,14.68000030517578
2014-02-28,12459250.0,573.94,4159972.0,14232.0425,45630.28571428572,79.77999877929688,127.62000274658205,35659.9638677987,11135.6,3316344.439332483,3815723798.81463,161596.57142857142,69564.28571428571,102.58999633789062,82.93445587158203,83.59512329101562,2.657999992370605,98714752.8675313,14.0
2014-03-07,12486150.0,616.73,4171762.0,14313.8346,55996.857142857145,79.72000122070312,129.08999633789062,31676.6700315021,11207.4,3200802.46231196,3815723798.81463,170678.2857142857,71595.0,102.58000183105467,83.1088638305664,81.72959899902344,2.789999961853028,180626710.93499404,14.109999656677246
2014-03-14,12514675.0,614.03,4181361.0,14325.6998,28006.428571428572,79.44000244140625,133.10000610351562,29367.8475506144,11261.1,3414962.322669491,4250217919.86954,155972.85714285713,70514.0,98.88999938964844,81.40135192871094,83.7595443725586,2.6449999809265137,266840970.25800928,17.81999969482422
2014-03-21,12543825.0,549.6,4222081.0,14354.7545,19685.714285714286,80.11000061035156,128.47000122070312,38241.5856594331,11299.7,3274868.325309371,4250217919.86954,136702.42857142858,65439.28571428572,99.45999908447266,81.89114379882812,83.53569793701172,2.75,78716439.70162435,15.0
