,10YR_USA,BTC_Supply,BTC_USD,BalanceSheet_FED,BalanceSheet_global,Bitcoin_Wikipedia_Search,Dollar_Index,GLD,HashRate,M2_Liquidity,Miners_Revenue_USD,Mining_Difficulty,Nr_Addresses,Nr_Transactions,Nr_Tx_Block,OIL_USD,QQQ,TLT,USD_OnChain_Volume,VIX
10YR_USA,1.0,-0.0605350253234103,-0.01229639094776118,-0.1013268647337906,-0.15884816660272036,-0.021475458171453115,0.10379124970473651,-0.32457025552468904,-0.004571350519502078,0.06203517433650461,-0.010500984715794913,0.023334368091634437,-0.017876332442326677,-0.02507073922093148,-0.006335686380714036,0.15575494126432585,0.13678695496100288,-0.8698818341958884,0.022851703884364916,-0.2533621636440435
BTC_Supply,-0.0605350253234103,1.0,0.13890423603518368,0.07892808174617916,0.02946248988144307,0.022900979029319278,-0.023247451398027707,0.01930948906976355,0.39307477521897904,0.02558136557328277,0.20241320190162168,0.41279595115226203,0.2652069616033886,0.20670523489528528,0.1606845534386713,-0.016215202318862153,-0.030257600247320465,0.0701239994465924,0.20999927933787765,0.0076140728221958725
BTC_USD,-0.01229639094776118,0.13890423603518368,1.0,0.04764298248915274,0.029542720453987027,0.031213475926020116,-0.06754451542080886,0.05317062370864622,0.14568534892127594,-0.04630106275376051,0.2775998101557747,0.12805438399391703,0.2527933303027855,0.1589839490003859,0.1068821731913874,0.030626924837459643,0.07249326923300568,0.02542602249711716,0.11038599335598433,-0.07634830367612361
BalanceSheet_FED,-0.1013268647337906,0.07892808174617916,0.04764298248915274,1.0,0.4633482096574716,0.0009085005821486963,-0.013009473583060998,0.06515725371528935,0.06916941427264249,0.3222851276006229,0.046615234432025414,0.06692701774605127,0.025926183468646436,-0.011409113004821489,-0.017378379066472802,-0.03672356689513625,0.05504613980447582,0.07591545370636875,0.008856648300832291,-0.05495766313115558
BalanceSheet_global,-0.15884816660272036,0.02946248988144307,0.029542720453987027,0.4633482096574716,1.0,0.0357993135411015,0.0051733501970026305,0.07984082536587489,0.052066903139389636,0.1922321461035963,0.0378677182319041,0.012038244164525428,0.01702030018117203,-0.02999311990702617,-0.06036159059470591,-0.09888552559930358,0.05049319055923745,0.11101444092978183,-0.017756333791878368,-0.010789182746600462
Bitcoin_Wikipedia_Search,-0.021475458171453115,0.022900979029319278,0.031213475926020116,0.0009085005821486963,0.0357993135411015,1.0,0.11117351948225362,-0.026358658836350683,0.02826163851896381,0.010215723913726478,0.044748926889416486,0.020910997623887824,0.029376890046909257,0.018354538262915786,0.0068836097660062425,-0.07203639069689852,-0.03273625544857836,0.031172628549113665,0.05491289682165408,0.009519005237147634
Dollar_Index,0.10379124970473651,-0.023247451398027707,-0.06754451542080886,-0.013009473583060998,0.0051733501970026305,0.11117351948225362,1.0,-0.5003539628908855,-0.06319027642753898,0.04864351696314531,-0.05608621619200571,-0.013604882221599756,-0.050391443036984514,-0.02488515299262041,0.012241641407903545,-0.1453564675928456,-0.22503943790124725,-0.0828273768652993,-0.02565231711814672,0.03870657858263201
GLD,-0.32457025552468904,0.01930948906976355,0.05317062370864622,0.06515725371528935,0.07984082536587489,-0.026358658836350683,-0.5003539628908855,1.0,0.027269054689621968,0.05713137185827472,0.07366571545142007,-0.045621511123169235,0.03859279498107217,0.027674569506325904,-0.02332134716340549,0.13321581783029968,0.08755194769402758,0.26218931044020577,-0.0166721275261672,0.03005624365491593
HashRate,-0.004571350519502078,0.39307477521897904,0.14568534892127594,0.06916941427264249,0.052066903139389636,0.02826163851896381,-0.06319027642753898,0.027269054689621968,1.0,0.006878544258980696,0.5193319837280438,0.4880982904381927,0.3192645514315551,0.20165845025807386,-0.21169261453670943,0.0381380648189719,0.05974168683662849,-0.00872129601265828,0.10346928398361108,-0.021269126395614305
M2_Liquidity,0.06203517433650461,0.02558136557328277,-0.04630106275376051,0.3222851276006229,0.1922321461035963,0.010215723913726478,0.04864351696314531,0.05713137185827472,0.006878544258980696,1.0,0.056089834930351176,-0.038187003048221646,0.06419766817905133,0.02055541263971793,-0.009743600127088732,-0.018592919503733225,0.009271746244550468,-0.07155516634893996,-0.006351388957919784,-0.02774615245531946
Miners_Revenue_USD,-0.010500984715794913,0.20241320190162168,0.2775998101557747,0.046615234432025414,0.0378677182319041,0.044748926889416486,-0.05608621619200571,0.07366571545142007,0.5193319837280438,0.056089834930351176,1.0,-0.010774929008166019,0.4932027481318114,0.36642682327831105,-0.04918441830685807,0.037679549395830576,0.0955360451431023,0.00513909456568775,0.2810900079438042,-0.04479798249898663
Mining_Difficulty,0.023334368091634437,0.41279595115226203,0.12805438399391703,0.06692701774605127,0.012038244164525428,0.020910997623887824,-0.013604882221599756,-0.045621511123169235,0.4880982904381927,-0.038187003048221646,-0.010774929008166019,1.0,0.12170205932910529,0.04889902770806226,0.2941631828671692,-0.027302504066677082,-0.012822144819798533,-0.020658705592209586,0.08200493644136947,8.769908397934632e-05
Nr_Addresses,-0.017876332442326677,0.2652069616033886,0.2527933303027855,0.025926183468646436,0.01702030018117203,0.029376890046909257,-0.050391443036984514,0.03859279498107217,0.3192645514315551,0.06419766817905133,0.4932027481318114,0.12170205932910529,1.0,0.6516575193808558,0.41204108376281057,0.02132033513275586,0.04862551899718762,0.0078065838807390405,0.27867262547454713,-0.03869513250535946
