Date,BalanceSheet_global
11/02/77,1075.4609
11/09/77,1088.7801
11/16/77,1088.1866
11/23/77,1087.2593
11/30/77,1088.6819
12/07/77,1096.3338
12/14/77,1097.2559
12/21/77,1106.2603
12/28/77,1112.782
01/04/78,1113.0366
01/11/78,1107.882
01/18/78,1106.1029
01/25/78,1104.1255
02/01/78,1109.2375
02/08/78,1110.5452
02/15/78,1105.5237
02/22/78,1113.2986
03/01/78,1119.5179
03/08/78,1117.9168
03/15/78,1131.8927
03/22/78,1130.4475
03/29/78,1131.1292
04/05/78,1149.6588
04/12/78,1142.3227
04/19/78,1148.5479
04/26/78,1145.0978
05/03/78,1150.3649
05/10/78,1153.5782
05/17/78,1153.2712
05/24/78,1157.1442
05/31/78,1184.4177
06/07/78,1173.4096
06/14/78,1170.735
06/21/78,1174.2303
06/28/78,1174.1691
07/05/78,1182.9814
07/12/78,1178.2332
07/19/78,1178.4762
07/26/78,1177.8926
08/02/78,1183.4712
08/09/78,1183.7162
08/16/78,1191.9029
08/23/78,1189.5742
08/30/78,1188.591
09/06/78,1206.1845
09/13/78,1199.1483
09/20/78,1206.6256
09/27/78,1212.195
10/04/78,1218.6893
10/11/78,1221.2563
10/18/78,1207.8514
10/25/78,1227.8827
11/01/78,1224.4311
11/08/78,1237.322
11/15/78,1236.0152
11/22/78,1243.7097
11/29/78,1233.8229
12/06/78,1244.3796
12/13/78,1244.5599
12/20/78,1256.1192
12/27/78,1271.7895
01/03/79,1264.8427
01/10/79,1267.3372
01/17/79,1268.6529
01/24/79,1272.3963
01/31/79,1273.6199
02/07/79,1274.8344
02/14/79,1271.4228
02/21/79,1278.1505
02/28/79,1286.0726
03/07/79,1276.5632
03/14/79,1291.0055
03/21/79,1291.2761
03/28/79,1295.0667
04/04/79,1309.1151
04/11/79,1316.345
04/18/79,1318.8951
04/25/79,1320.3269
05/02/79,1320.8164
05/09/79,1320.9593
05/16/79,1328.4886
05/23/79,1324.9758
05/30/79,1335.1569
06/06/79,1339.0391
06/13/79,1343.5379
06/20/79,1352.6869
06/27/79,1360.0041
07/04/79,1367.1378
07/11/79,1371.2842
07/18/79,1363.8232
07/25/79,1381.8208
08/01/79,1384.1695
08/08/79,1375.5138
08/15/79,1384.3938
08/22/79,1384.4902
08/29/79,1390.512
09/05/79,1415.2776
09/12/79,1411.1336
09/19/79,1427.0556
09/26/79,1418.2977
10/03/79,1429.0033
10/10/79,1445.1652
10/17/79,1420.2987
10/24/79,1430.9953
10/31/79,1427.9117
11/07/79,1416.2322
11/14/79,1435.3897
11/21/79,1431.6476
11/28/79,1421.9913
12/05/79,1435.2302
12/12/79,1435.9097
12/19/79,1428.6564
12/26/79,1430.3288
01/02/80,1437.0763
01/09/80,1439.9029
01/16/80,1440.0849
01/23/80,1449.1466
01/30/80,1437.5889
02/06/80,1456.844
02/13/80,1462.686
02/20/80,1468.2686
02/27/80,1457.8622
03/05/80,1467.9465
03/12/80,1468.9298
03/19/80,1470.7436
03/26/80,1475.5212
04/02/80,1478.0707
04/09/80,1481.0349
04/16/80,1476.0286
04/23/80,1480.7679
04/30/80,1486.7256
05/07/80,1479.1614
05/14/80,1487.2993
05/21/80,1486.6108
05/28/80,1490.0542
06/04/80,1478.7499
06/11/80,1489.7532
06/18/80,1485.8046
06/25/80,1494.4777
07/02/80,1489.1084
07/09/80,1498.5414
07/16/80,1504.6653
07/23/80,1510.0735
07/30/80,1502.4337
08/06/80,1510.7024
08/13/80,1513.4279
08/20/80,1526.89
08/27/80,1522.6133
09/03/80,1533.7954
09/10/80,1525.33
09/17/80,1533.6022
09/24/80,1534.2689
10/01/80,1545.184
10/08/80,1542.2161
10/15/80,1554.3602
10/22/80,1556.1194
10/29/80,1554.1817
11/05/80,1574.1893
11/12/80,1583.9194
11/19/80,1569.6419
11/26/80,1587.2264
12/03/80,1573.3805
12/10/80,1589.008
12/17/80,1584.5746
12/24/80,1595.5714
12/31/80,1590.3014
01/07/81,1593.2125
01/14/81,1599.6188
01/21/81,1598.1372
01/28/81,1602.7314
02/04/81,1608.2786
02/11/81,1610.1587
02/18/81,1616.401
02/25/81,1618.6368
03/04/81,1623.5387
03/11/81,1623.3025
03/18/81,1629.7038
03/25/81,1635.4098
04/01/81,1644.3314
04/08/81,1637.1245
04/15/81,1657.5726
04/22/81,1655.1279
04/29/81,1656.6242
05/06/81,1657.063
05/13/81,1658.883
05/20/81,1662.3107
05/27/81,1671.2806
06/03/81,1662.3203
06/10/81,1685.1843
06/17/81,1682.3605
06/24/81,1692.1576
07/01/81,1681.4174
07/08/81,1675.2339
07/15/81,1692.7616
07/22/81,1691.0274
07/29/81,1672.5743
08/05/81,1703.7277
08/12/81,1698.9813
08/19/81,1700.2501
08/26/81,1708.9774
09/02/81,1695.2731
09/09/81,1704.4307
09/16/81,1720.1455
09/23/81,1716.033
09/30/81,1741.314
10/07/81,1666.5066
10/14/81,1678.5433
10/21/81,1679.1568
10/28/81,1679.1947
11/04/81,1687.5878
11/11/81,1694.3987
11/18/81,1700.4033
11/25/81,1713.3162
12/02/81,1713.4095
12/09/81,1699.4609
12/16/81,1693.9184
12/23/81,1703.6999
12/30/81,1685.7961
01/06/82,1695.3889
01/13/82,1701.6439
01/20/82,1706.0048
01/27/82,1711.5404
02/03/82,1719.4162
02/10/82,1714.3624
