Date,10yr-2y_euro-area,10yr-2y_usa,BalanceSheet_euro-area,BalanceSheet_global,BalanceSheet_japan,BalanceSheet_usa,BTC_price,GDP_japan,GDP_usa,GDP_euro-area,Breakeven_inflation_usa,CPI_euro-area,CPI_japan,CPI_usa,PMI_euro-area,PMI_japan,PMI_usa,EURUSD,JPYUSD,JPYEUR,SPY,QQQ,EXSA,JPXN
2015-08-31,1.039,1.47,2558780.0,15500.8763,3614591.0,4475105.0,230.05599975585935,,,,1.63,0.4,0.2,-0.141627628281935,52.3,51.7,53.0,1.1214030981063845,0.00824477057904,0.0073500000871717,168.7061004638672,97.27041625976562,28.14252281188965,44.17533874511719
2015-09-30,0.94,1.42,2620631.0,15244.9096,3661278.0,4484111.0,236.05999755859372,,,,1.41,0.2,0.0,-0.155675657530359,52.0,51.0,53.1,1.1255937814712524,0.0083430670201778,0.0074100000783801,163.55108642578125,94.89252471923828,26.71167755126953,41.56833267211914
2015-10-31,0.943,1.41,2664996.0,15611.471,3735537.0,4489339.0,314.1659851074219,539353.5,18435.137,3086552.2,1.53,0.4,0.3,-0.0449683750446447,52.3,52.4,54.1,1.100897192955017,0.0082900002598762,0.0075300000607967,178.38531494140625,105.93879699707033,29.25020980834961,45.30110549926758
2015-11-30,0.983,1.27,2706740.0,15549.6766,3812542.0,4477088.0,377.3210144042969,,,,1.59,0.1,0.3,-0.211068037908146,52.8,52.6,52.8,1.05830180644989,0.0081413332372903,0.0076899998821318,179.03732299804688,106.58379364013672,30.007944107055664,45.9105339050293
2015-12-31,1.115,1.21,2767815.0,15499.9589,3831076.0,4486587.0,430.5669860839844,,,,1.54,0.3,0.2,-0.341709643711866,53.2,52.6,51.2,1.093398094177246,0.0083022005856037,0.007590000052005,174.90219116210938,104.56468200683594,28.531137466430664,44.471588134765625
2016-01-31,0.905,1.18,2808331.0,15631.5963,3964498.0,4482349.0,368.7669982910156,545128.8,18525.933,3103570.4,1.41,0.3,-0.1,0.165310220906868,52.3,52.3,52.4,1.0825908184051514,0.0082413060590624,0.0076100002042949,167.1835174560547,97.63609313964844,26.636058807373047,42.139644622802734
2016-02-29,0.754,0.96,2850299.0,15706.8175,4037909.0,4489796.0,437.6969909667969,,,,1.42,-0.1,0.2,0.0823076533454985,51.2,50.1,51.3,1.0923947095870972,0.0087981699034571,0.0080500002950429,167.04541015625,96.10772705078124,26.07659912109375,40.51921463012695
2016-03-31,0.753,1.05,2897696.0,15703.1431,4056481.0,4482840.0,416.72900390625,,,,1.62,0.0,0.0,0.4306000143392679,51.6,49.1,51.5,1.1334655284881592,0.0088994894176721,0.0078499997034668,177.3671112060547,102.3899383544922,26.32525062561035,42.42961502075195
2016-04-30,0.846,1.06,3000759.0,15873.7592,4144163.0,4474665.0,448.3179931640625,543480.9,18711.702,3121240.3,1.71,-0.3,-0.3,0.4741067979104,51.7,48.2,50.8,1.1448328495025637,0.0094029149040579,0.0082099996507167,178.98455810546875,99.42096710205078,26.879379272460938,42.31874465942383
2016-05-31,0.748,0.97,3067481.0,15899.3809,4256697.0,4461111.0,531.385986328125,,,,1.54,-0.1,-0.5,0.404579099811517,51.5,47.7,50.7,1.1148396730422974,0.009021932259202,0.0080899996683001,182.02935791015625,103.76571655273438,27.62775421142578,43.615081787109375
2016-06-30,0.557,0.91,3131095.0,15947.128,4327586.0,4466482.0,673.3369750976562,,,,1.40,0.0,-0.4,0.3284366167281879,52.8,48.1,51.3,1.1128050088882446,0.0097297085449099,0.0087400004267692,181.7170867919922,101.13255310058594,25.89713287353516,42.81340026855469
2016-07-31,0.501,0.79,3284309.0,16032.0575,4430848.0,4464498.0,624.6810302734375,543595.8,18892.639,3141914.3,1.49,0.2,-0.4,-0.161813640474981,52.0,50.1,52.9,1.1168068647384644,0.0097721144556999,0.0087500000372529,189.323974609375,108.65298461914062,27.27713966369629,45.06410217285156
2016-08-31,0.535,0.78,3330487.0,16041.0816,4529802.0,4457907.0,575.4719848632812,,,,1.47,0.2,-0.5,0.0918430107884498,51.7,50.3,52.0,1.1153244972229004,0.0097211962565779,0.0087200002744793,189.55072021484372,109.79393768310548,27.42731666564941,45.54534530639648
2016-09-30,0.558,0.83,3438145.0,16028.9673,4568058.0,4452002.0,609.7349853515625,,,,1.60,0.4,-0.5,0.240399586462898,52.6,50.4,51.5,1.121956706047058,0.0098815206438303,0.0088099995627999,188.60894775390625,111.94378662109376,27.119049072265625,46.688270568847656
2016-10-31,0.806,0.98,3507401.0,16021.912,4633922.0,4454326.0,700.9719848632812,544585.8,19089.379,3169195.2,1.73,0.5,0.1,0.124674851301432,53.5,51.4,53.4,1.0984665155410769,0.0095634292811155,0.0087099997326731,186.2752685546875,110.58889770507812,27.1849308013916,47.203880310058594
2016-11-30,1.053,1.26,3566230.0,15990.8626,4711310.0,4446307.0,745.6909790039062,,,,1.94,0.6,0.5,-0.155546086733514,53.7,51.3,54.1,1.0648492574691772,0.0088912602514028,0.0083499997854232,193.1373748779297,111.0709991455078,27.481460571289062,46.38749313354492
2016-12-31,1.058,1.25,3662901.0,15992.6933,4764980.0,4451451.0,963.7429809570312,,,,1.95,1.1,0.3,0.0327321392317517,54.9,52.4,54.3,1.0520004034042358,0.008555051870644,0.0081299999728798,195.89796447753903,111.99738311767578,28.95612144470215,45.56252670288086
2017-01-31,1.189,1.26,3740766.0,16050.8372,4819817.0,4452838.0,970.4030151367188,547459.1,19280.084,3210429.8,2.05,1.7,0.4,0.582772789025459,55.2,52.7,55.0,1.0708587169647217,0.0087989438325166,0.0082130003720521,200.57879638671875,118.10238647460938,28.942285537719727,47.69231033325195
2017-02-28,1.147,1.14,3808242.0,16136.5515,4879011.0,4468702.0,1179.969970703125,,,,2.02,2.0,0.3,0.314611738641666,55.4,53.3,54.2,1.0584250688552856,0.0088695725426077,0.0083760004490613,208.45980834960935,123.2694320678711,29.796613693237305,48.48472595214844
2017-03-31,1.11,1.13,4100730.0,16151.8498,4900893.0,4469618.0,1071.7900390625,,,,1.97,1.5,0.2,0.0812797871947232,56.2,52.4,53.3,1.0687072277069092,0.0089464643970131,0.008368999697268,207.8163299560547,125.50691223144533,30.8040714263916,48.62404251098633
2017-04-30,1.114,1.01,4148032.0,16233.1815,4977463.0,4470142.0,1347.8900146484375,550777.3,19438.643,3253429.5,1.92,1.9,0.4,0.296553336532688,56.7,52.7,52.8,1.0907504558563232,0.0089845648035407,0.0082339998334646,210.79217529296875,129.19764709472656,31.152137756347656,49.094268798828125
2017-05-31,1.098,0.93,4195685.0,16228.3653,5008008.0,4459914.0,2286.409912109375,,,,1.81,1.4,0.4,0.0854721826896363,57.0,53.1,52.7,1.117168664932251,0.0090220952406525,0.0080719999969005,213.7670440673828,134.23289489746094,31.99772834777832,50.45267105102539
2017-06-30,1.127,0.93,4209510.0,16229.1502,5021084.0,4463347.0,2480.840087890625,,,,1.73,1.3,0.4,0.0907111014861139,57.4,52.4,52.0,1.144164800643921,0.0089278537780046,0.0078010000288486,214.0858154296875,130.7652130126953,30.80538558959961,50.76613998413086
2017-07-31,1.245,0.96,4248280.0,16415.3835,5055602.0,4465284.0,2875.340087890625,557081.4,19692.595,3287576.9,1.82,1.3,0.4,-0.0689922638852295,56.6,52.1,53.3,1.1747292280197144,0.0090489545837044,0.0076999999582767,219.55160522460935,136.44668579101562,31.11893653869629,52.12554931640625
2017-08-31,1.119,0.79,4278881.0,16505.8061,5115845.0,4452360.0,4703.39013671875,,,,1.76,1.5,0.7,0.299445229710857,57.4,52.2,52.8,1.1893434524536133,0.0090530505403876,0.0076100002042949,220.1922149658203,139.2760772705078,30.89571762084961,52.06421661376953
2017-09-30,1.216,0.86,4318624.0,16528.9075,5134438.0,4455661.0,4338.7099609375,,,,1.84,1.6,0.7,0.5294905893230339,58.1,52.9,53.1,1.1741636991500854,0.0088499998673796,0.0075400001369416,223.51971435546875,138.56161499023438,31.58192253112793,52.92276382446289
