Date,BTC_USD,USD_OnChain_Volume,JPY_EUR,SPY,QQQ,EXSA,JPXN,IWDA,Nr_Transactions,Nr_Addresses,BTC_PageViews,Crypto_PageViews
2010-11-26,0.2844,21817.138,0.0089600002393126,92.05724334716795,46.56893157958984,19.11560821533203,34.73969650268555,20.434999465942383,1314.0,955.0,,
2010-12-03,0.251,5766.7,0.0090300003066658,95.22650909423828,47.53965377807617,19.51752281188965,36.02031326293945,20.739999771118164,384.0,481.0,,
2010-12-10,0.204,2885.0878,0.009010000154376,96.45861053466795,48.08681869506836,19.81366729736328,35.81852340698242,21.170000076293945,373.0,501.0,,
2010-12-17,0.24,3451.603935955,0.0089900000020861,96.82565307617188,48.20867919921875,19.630340576171875,36.09017181396485,21.31999969482422,462.0,604.0,,
2010-12-24,0.248,2646.905,0.0091700004413723,97.83832550048828,48.40321350097656,19.989940643310547,36.56675338745117,21.68000030517578,531.0,711.0,,
2010-12-31,0.3,4067.241,0.0092200003564357,97.95519256591795,48.15561676025391,19.75020408630371,37.25653839111328,21.459999084472656,555.0,724.0,,
2011-01-07,0.32,6019.13819997,0.009239999577403,99.0379409790039,49.40239334106445,19.94763565063477,37.413307189941406,22.040000915527344,1020.0,1005.0,,
2011-01-14,0.4,21755.4834,0.0090500004589557,100.72051239013672,50.40159225463867,20.145065307617188,38.13444900512695,21.88500022888184,1262.0,1096.0,,
2011-01-21,0.4199,9615.6879657,0.0089499996975064,99.9960708618164,49.234375,20.011096954345703,37.123291015625,21.5,1166.0,1520.0,,
2011-01-28,0.446,8826.567,0.0087900003418326,99.48973846435548,49.27861404418945,19.933536529541016,37.28006362915039,21.420000076293945,1081.0,1403.0,,
2011-02-04,0.811,23196.5994,0.0089900000020861,102.16159057617188,50.73759078979492,20.377761840820312,38.73018264770508,21.89999961853028,954.0,1169.0,,
2011-02-11,1.07,54736.8849013248,0.0088200001046061,103.68836975097656,51.67488861083984,20.504676818847656,38.64395904541016,22.170000076293945,2355.0,3680.0,,
2011-02-18,0.8989,45079.346010048,0.0088099995627999,104.79448699951172,51.93130874633789,20.737367630004883,39.71784210205078,22.32999992370605,2056.0,2992.0,,
2011-02-25,0.9112,28442.3616,0.0088200001046061,103.08080291748048,50.97633361816406,20.24378776550293,39.06724166870117,21.76000022888184,2060.0,2959.0,,
2011-03-04,0.9012,41221.1453553542,0.0086899995803833,103.1898422241211,51.25929641723633,20.11686515808105,38.87910842895508,21.56999969482422,1982.0,2802.0,,
2011-03-11,0.88,63571.4485814842,0.0087400004267692,101.92008209228516,49.95063400268555,19.6514892578125,36.8724479675293,21.14999961853028,1884.0,2579.0,,
2011-03-18,0.8165,65170.673574,0.0089600002393126,99.9532470703125,48.21470642089844,19.08035087585449,35.42232131958008,20.405000686645508,2371.0,2541.0,,
2011-03-25,0.8838,56282.50755,0.0087099997326731,102.7227554321289,50.33102035522461,19.70084953308105,35.547725677490234,21.065000534057617,1999.0,3421.0,,
2011-04-01,0.7741,40891.555531016,0.0084699997678399,104.17009735107422,50.88002014160156,20.004047393798828,35.061744689941406,21.270000457763672,1579.0,2714.0,,
2011-04-08,0.75,45202.8639459072,0.0082299998030066,103.9432144165039,50.42841720581055,20.12391662597656,33.96436309814453,21.0,1767.0,3002.0,,
2011-04-15,0.9899,53470.9932399706,0.0082599995657801,103.30166625976562,50.16276931762695,19.870079040527344,34.215187072753906,20.780000686645508,2018.0,3162.0,,
2011-04-22,1.409,143802.591016597,0.008390000090003,104.6629867553711,51.65924835205078,20.10981559753418,34.68551254272461,20.924999237060547,2097.0,3411.0,,
2011-04-29,2.88,559191.015360202,0.0082599995657801,106.73624420166016,52.31451034545898,20.38480758666992,35.72801971435547,21.01499938964844,3534.0,5637.0,,
2011-05-06,3.452,355406.281248867,0.008559999987483,104.99156188964844,51.77435302734375,20.24378776550293,35.610443115234375,21.209999084472656,3290.0,5777.0,,
2011-05-13,8.198,2165446.02479371,0.0086599998176097,104.86637878417967,51.72121810913086,20.2790470123291,34.756046295166016,21.354999542236328,4064.0,7459.0,,
2011-05-20,5.59,543316.483903357,0.0085399998351931,104.530029296875,51.15452575683594,20.201478958129883,33.987876892089844,21.26499938964844,4795.0,9754.0,,
2011-05-27,8.5,3150703.9478684,0.0087099997326731,104.45174407958984,50.85346603393555,20.20852851867676,34.293575286865234,21.18000030517578,4853.0,8881.0,,
2011-06-03,14.29,1703030.01467965,0.0085300002247095,102.03429412841795,49.89712524414063,19.84892463684082,34.027061462402344,20.450000762939453,8441.0,14972.0,,
2011-06-10,23.95,4228078.69222764,0.0085800001397728,99.82807159423828,48.38294219970703,19.43290138244629,33.99571990966797,20.23500061035156,11269.0,20979.0,,
2011-06-17,15.68,2771632.42666994,0.008729999884963,99.89055633544922,47.73710250854492,19.06624984741211,33.84677505493164,20.2549991607666,11296.0,22327.0,,
2011-06-24,17.51,1477353.33749956,0.0087099997326731,99.70183563232422,48.26068878173828,18.840606689453125,34.45745086669922,20.325000762939453,10922.0,21877.0,,
2011-07-01,15.4,1684555.69487359,0.008559999987483,105.29195404052734,51.39347076416016,19.61623191833496,35.7936897277832,20.88500022888184,10603.0,26938.0,,
2011-07-08,14.31,820606.124700516,0.0085699995979666,105.66930389404295,52.3874397277832,19.57392883300781,36.12575912475586,21.225000381469727,8528.0,21353.0,,
2011-07-15,13.81,653480.795209949,0.0089199999347329,103.53866577148438,51.34022903442383,19.04509735107422,36.28389358520508,20.98500061035156,8148.0,21625.0,,
2011-07-22,13.7,917648.66373393,0.0088299997150897,105.81084442138672,52.893310546875,19.418800354003903,37.12200546264648,21.21999931335449,8991.0,21517.0,,
2011-07-29,13.5,918282.285815598,0.0089699998497962,101.68315887451172,51.47335052490234,18.9393310546875,36.48948287963867,20.59499931335449,7315.0,20037.0,,
2011-08-05,9.8,1332652.9188727,0.0089699998497962,94.4105224609375,47.7725944519043,17.09898567199707,33.93559646606445,18.89999961853028,7360.0,19056.0,,
2011-08-12,9.461,585380.277059873,0.0091399997472763,92.86952209472656,47.54185104370117,17.04257583618164,33.29515838623047,18.770000457763672,7165.0,14112.0,,
2011-08-19,11.65,547167.01868611,0.0091099999845027,88.56095123291016,44.40021514892578,15.991955757141112,32.077518463134766,17.825000762939453,7614.0,19350.0,,
2011-08-26,8.179,508953.76031234703,0.0089800003916025,92.75157165527344,47.151363372802734,16.245798110961914,32.3621711730957,18.225000381469727,7421.0,17687.0,,
2011-09-02,8.64,470740.501938584,0.0091199995949864,92.6572494506836,47.284481048583984,16.718217849731445,32.401710510253906,18.989999771118164,7026.0,13795.0,,
2011-09-09,5.03,1025995.85315855,0.0092799998819828,91.1397933959961,47.195743560791016,16.154130935668945,31.105005264282227,18.88500022888184,7376.0,14345.0,,
2011-09-16,4.82,461448.441117702,0.0093999998643994,96.03701782226562,50.31515884399414,16.337465286254883,32.72587585449219,19.225000381469727,6209.0,12059.0,,
2011-09-23,5.547,406182.45142012,0.0097200004383921,89.73040008544922,48.14571380615234,15.350301742553713,31.40545654296875,18.354999542236328,6328.0,17920.0,,
2011-09-30,5.14,302636.757167051,0.0095899999141693,89.42221069335938,46.66978454589844,16.175283432006836,31.911487579345703,18.77499961853028,5865.0,11283.0,,
2011-10-07,4.273,705027.908763821,0.0097099998965859,91.44537353515624,48.07459259033203,16.45733642578125,31.45290184020996,19.01000022888184,5674.0,11509.0,,
2011-10-14,3.988,387212.044081071,0.009460000321269,96.86682891845705,51.72886276245117,16.96501350402832,32.42542266845703,19.38500022888184,6111.0,11513.0,,
2011-10-21,2.57,245130.100223546,0.0094400001689791,97.97323608398438,50.946434020996094,17.014373779296875,32.49658203125,19.549999237060547,5206.0,10025.0,,
2011-10-28,3.19,409362.198198977,0.009290000423789,101.63232421875,52.40458297729492,17.69832992553711,33.97513961791992,20.09499931335449,5118.0,9929.0,,
2011-11-04,3.109,463387.031367349,0.0092599997296929,99.16656494140624,51.3909912109375,17.056676864624023,31.72964096069336,19.76000022888184,6540.0,12456.0,,
2011-11-11,3.08,366520.23470334,0.009460000321269,100.09912109375,51.43543243408203,17.162443161010742,31.500343322753903,19.934999465942383,4733.0,9129.0,,
2011-11-18,2.05,6103507.28094735,0.0096500003710389,96.4005355834961,49.257102966308594,16.584257125854492,30.954776763916016,19.46500015258789,5169.0,10146.0,,
2011-11-25,2.506,469794.929392377,0.0097200004383921,91.94325256347656,47.01652526855469,15.7874755859375,29.83202171325684,18.934999465942383,5486.0,9369.0,,
2011-12-02,3.115,14698307.9784718,0.0095499996095895,98.67658996582033,50.341835021972656,17.183597564697266,31.86404228210449,20.229999542236328,6318.0,10573.0,,
2011-12-09,2.97,2782000.20281972,0.0096399998292326,99.61705017089844,50.69747161865234,17.190643310546875,32.01427459716797,20.19499969482422,5588.0,9378.0,,
2011-12-16,3.2,584591.56345392,0.009859999641776,96.7017593383789,48.92087173461914,16.739376068115234,30.717565536499023,20.0,5334.0,8457.0,,
2011-12-23,3.947,448283.796461561,0.009800000116229,100.51925659179688,50.0088005065918,17.303464889526367,31.16299057006836,20.584999084472656,5682.0,9532.0,,
2011-12-30,4.248,507273.019965287,0.0099400002509355,99.8114013671875,49.829402923583984,17.465648651123047,31.0426025390625,20.780000686645508,5051.0,8259.0,,
2012-01-06,6.697,1155595.18982879,0.0101300003007054,101.56903076171876,51.59658432006836,17.69832992553711,31.14693069458008,21.325000762939453,6644.0,11057.0,,
2012-01-13,6.41,1229394.47891623,0.0101500004529953,102.46773529052734,51.92681884765625,17.782939910888672,31.42782592773437,21.475000381469727,6847.0,11166.0,,
2012-01-20,6.49,815380.861875807,0.0099999997764825,104.9411392211914,53.34591293334961,18.2835693359375,32.34273147583008,21.64999961853028,6780.0,10999.0,,
2012-01-27,5.292,791223.481316662,0.009859999641776,104.83777618408205,53.9082260131836,18.25536727905273,32.7119026184082,21.59499931335449,6337.0,10766.0,,
2012-02-03,5.959,844182.256734416,0.0099900001659989,107.00100708007812,55.3808708190918,18.925222396850582,33.121212005615234,22.174999237060547,7050.0,12425.0,,
2012-02-10,5.913,664203.97852178,0.0097000002861022,106.85783386230467,55.755741119384766,18.68548583984375,33.06501770019531,21.96500015258789,8456.0,12577.0,,
2012-02-17,4.41,892942.321258268,0.0096599999815225,108.48828125,56.61254501342773,19.04509735107422,34.33305740356445,22.375,6778.0,11012.0,,
2012-02-24,5.029,976467.833778759,0.009349999949336,108.90179443359376,57.0855827331543,18.97457695007324,34.662105560302734,22.09499931335449,6930.0,12250.0,,
2012-03-02,4.705,1051236.3878789,0.0092500001192092,109.20402526855467,57.89779281616211,19.150856018066406,34.220699310302734,22.51000022888184,7645.0,13076.0,,
2012-03-09,4.861,612102.592265017,0.0092299999669194,109.41079711914062,58.03166198730469,19.03099632263184,34.71828079223633,22.56999969482422,6502.0,11952.0,,
2012-03-16,5.344,814140.252390682,0.0091599998995661,112.07099151611328,59.47122573852539,19.37649726867676,34.71828079223633,22.96999931335449,6935.0,12250.0,,
2012-03-23,4.686,635702.489761539,0.0091700004413723,111.55178833007812,59.846710205078125,18.89702033996582,34.40528106689453,22.530000686645508,6156.0,10784.0,,
2012-03-30,4.86,676790.752434445,0.0091300001367926,112.4783706665039,60.39208984375,18.74189567565918,34.878787994384766,22.584999084472656,6828.0,11737.0,,
2012-04-06,4.95,1031189.3862134,0.0093099996447563,111.66361236572266,60.54407501220703,18.481000900268555,33.691017150878906,22.6200008392334,6699.0,11820.0,,
2012-04-13,4.94,1040506.04099636,0.0093700001016259,109.54679870605467,59.17620468139648,18.121400833129883,33.73917388916016,22.23500061035156,7223.0,12315.0,,
2012-04-20,5.35,1564026.9073259,0.0093200001865625,110.19383239746094,58.72024154663086,18.452800750732425,33.899688720703125,22.325000762939453,8285.0,14597.0,,
2012-04-27,5.109,868905.013322784,0.009349999949336,112.1428680419922,60.11491775512695,18.57267189025879,33.779300689697266,22.479999542236328,7195.0,13007.0,,
2012-05-04,5.067,972245.944977999,0.0094699999317526,109.4349594116211,57.84408187866211,18.18485450744629,32.768089294433594,22.114999771118164,14098.0,17784.0,,
2012-05-11,4.96,1386243.60470554,0.0096800001338124,108.32465362548828,57.37916946411133,18.1637020111084,32.0217170715332,22.225000381469727,19061.0,21107.0,,
2012-05-18,5.118,1128069.41849863,0.0099200000986456,103.63570404052734,54.36629486083984,17.26821517944336,30.769739151000977,21.3799991607666,24481.0,21855.0,,
2012-05-25,5.145,1060558.50766798,0.0100100003182888,105.52086639404295,55.492767333984375,17.550254821777344,30.312286376953125,21.84000015258789,28999.0,24344.0,,
2012-06-01,5.275,2487947.23562845,0.0103000001981854,102.37361145019533,54.00865173339844,17.07783317565918,29.73444938659668,21.415000915527344,27069.0,23507.0,,
2012-06-08,5.633,1442372.15249667,0.0099799996241927,106.31965637207033,56.208003997802734,17.54320526123047,30.45675277709961,21.84499931335449,23897.0,21927.0,,
2012-06-15,6.5,1717724.01941538,0.009970000013709,107.70559692382812,56.4447021484375,17.402183532714844,31.13890838623047,21.979999542236328,54986.0,37978.0,,
2012-06-22,6.548,1856524.95892051,0.0099600004032254,107.15960693359376,56.767311096191406,17.62781524658203,31.36766624450684,22.09499931335449,23565.0,23129.0,,
2012-06-29,6.65,1200385.04814585,0.0101300003007054,109.27935028076172,57.493141174316406,17.987424850463867,32.526126861572266,22.395000457763672,22877.0,26456.0,,
2012-07-06,6.648,1415221.70651341,0.0100999996066093,108.78954315185548,57.45729446411133,18.19896125793457,32.56663513183594,22.920000076293945,23916.0,23077.0,,
