Date,BTC_Supply,BTC_USD,BalanceSheet_FED,BalanceSheet_global,Bitcoin_Wikipedia_Search,Dollar_Index,GLD,HashRate,M2_Liquidity,Miners_Revenue_USD,Mining_Difficulty,Nr_Addresses,Nr_Transactions,OIL_USD,QQQ,TLT,Ten_YR_USA,USD_OnChain_Volume,VIX
2018-03-02,7.227792254567564,4.043091791450461,6.642800844544467,4.221238890938794,4.953643735569696,1.953952895020774,2.0982629002659468,7.367759582680033,4.141167468646232,8.166773893442372,12.478188865557065,5.653262006738895,5.276639359191649,1.78710609303657,2.2008678659896614,2.005192744423557,0.45591025748904584,10.019397496242567,1.2920344393774867
2018-03-09,7.228144891730917,3.966271297493582,6.643067266576744,4.220335528144702,4.888465932665956,1.9546765692648094,2.0987821274818774,7.378074858319902,4.145910834132374,8.175458702532763,12.51727588376696,5.648118467726195,5.286292511722043,1.7926717955504723,2.2192335073092897,2.0035750201059317,0.4614985347974718,9.993318810107915,1.1655410869070162
2018-03-16,7.228483770140767,3.9181997205577708,6.644168474766019,4.220056503350072,4.817882546482335,1.9553509735252317,2.0955180370046853,7.406846600889927,4.146599299618718,8.0824004174655,12.51727588376696,5.615027304187464,5.260702599130682,1.7947667990038316,2.2138329327483355,2.0105175448733346,0.45453999252701166,9.904423615258759,1.1986570921971504
2018-03-23,7.2288076395903245,3.9510848355357298,6.643573275162211,4.21885053013405,5.024805729029316,1.9515318023971027,2.1058847107464396,7.359692858818243,4.146713937833776,8.036786707406195,12.539395099082652,5.610372515027365,5.257144890966299,1.818753572391684,2.1815465879811224,2.0118204932682673,0.4517864238161489,9.821041431572816,1.3956757999251201
2018-03-30,7.2291415173218665,3.835928892550724,6.6426819098503165,4.219186954364093,4.90042721556,1.9549657384092891,2.0996461202841217,7.445356232393788,4.145951179776782,8.027948105816938,12.539395099082652,5.599575402811535,5.242380969511412,1.8125123006171961,2.185962738307312,2.018028290791696,0.437909025566648,9.825472356712353,1.3003780499379853
2018-04-06,7.229477698971857,3.821831763392024,6.6420789251277865,4.219460496213475,4.8340581104045945,1.9547729926313697,2.1017127117492533,7.381763524684403,4.1507963378739605,7.9691753569119,12.54543831951466,5.596630706990929,5.2309136232334446,1.7928117808584063,2.176364904171478,2.0160959093690134,0.44326300238393784,9.712042846121118,1.3322364108659375
2018-04-13,7.229839843533149,3.897578161687533,6.641839240274998,4.219352724514105,4.794885213078925,1.9532763514263418,2.1053398294062156,7.459368382497074,4.150710399135644,8.0113130274691,12.54543831951466,5.59989320445417,5.257870828445506,1.828595452438295,2.1893127972019584,2.015378106673842,0.45163294687137684,9.79742403774639,1.2407987673110084
2018-04-20,7.230184432157195,3.948270133747818,6.642059022455371,4.220795672594862,4.7336385601702595,1.955783927449505,2.102536597454301,7.417420646393329,4.1513606554892535,8.047684421933699,12.584253960468418,5.648875978025126,5.287110402306639,1.8349290790165067,2.1918084590924973,2.0065235578272533,0.46996920585083624,9.79172452029983,1.2273724206975485
2018-04-27,7.230515657093726,3.9512631868694235,6.640768155548314,4.220846004710655,4.929643678809142,1.9616109124348298,2.098643725817057,7.453182921351167,4.146394734667958,8.084189830749866,12.595888147088944,5.677722288729664,5.327416447225352,1.8331471021817896,2.1912460894463837,2.008097152727131,0.47085132704730764,9.950150549232909,1.1878026344180896
2018-05-04,7.230843758219841,3.986754272590679,6.639100732231264,4.221753163042785,4.625178642950738,1.9664702622975445,2.095308864577998,7.440773663369348,4.143505057489394,8.090805606404372,12.604448458199606,5.673619444146752,5.319085526916748,1.843357386041866,2.1986315436336104,2.009418558106578,0.4689378065095689,9.938113711687643,1.1693805087719518
