Date,BTC_USD,Mining_Difficulty,M2_Liquidity,EUR_USD,JPY_USD,JPY_EUR,SPY,QQQ,EXSA,JPXN,IWDA,GLD,SLV,TLT,BND,BTC_Supply
2014-01-14,919.28,1789546951.0,,1.3669979572296145,0.009697816,0.0071,152.32884216308594,80.13231658935547,24.37834358215332,42.99264907836914,28.614999771118164,119.88999938964844,19.420000076293945,80.21788787841797,60.43185806274414,12263200.0
2014-01-15,941.22,1789546951.0,,1.3668484687805176,0.009598863,0.00702,153.14996337890625,80.79056549072266,24.634334564208984,43.26675796508789,28.96500015258789,119.66000366210938,19.39999961853028,80.13340759277344,60.39431381225586,12267800.0
2014-01-16,913.49,1789546951.0,,1.359933614730835,0.009562881,0.00703,152.95094299316406,80.79971313476562,24.568510055541992,43.14215850830078,28.88999938964844,119.79000091552734,19.350000381469727,80.67098999023438,60.52934265136719,12272425.0
2014-01-17,894.16,1789546951.0,,1.3618041276931765,0.009588188,0.00704,152.3040008544922,80.34259796142578,24.64896774291992,43.25844955444336,29.06999969482422,120.93000030517578,19.51000022888184,81.00893402,60.59685134887695,12276225.0
2014-01-18,905.72,1789546951.0,,,,,,,,,,,,,,12280575.0
2014-01-19,954.8,1789546951.0,,,,,,,,,,,,,,12284800.0
2014-01-20,955.95,1789546951.0,11100.9,1.3527590036392212,0.009593431,0.00709,152.3040008544922,80.34259796142578,24.68553924560547,43.25844955444336,29.00499916,120.93000030517578,19.51000022888184,81.00893402,60.59685134887695,12289675.0
2014-01-21,962.21,1789546951.0,,1.3549033403396606,0.009594627,0.00708,152.7518310546875,80.95512390136719,24.68553924560547,43.366432189941406,28.975000381469727,119.6999969482422,19.170000076293945,81.07035827636719,60.59685134887695,12293825.0
2014-01-22,950.95,1789546951.0,,1.355913758277893,0.009594811,0.00707,152.8513641357422,81.16539001464844,24.70747375488281,43.20030212402344,29.03499984741211,119.19000244140624,19.030000686645508,80.87075805664062,60.491825103759766,12298625.0
2014-01-23,944.16,1789546951.0,,1.354224443435669,0.009557031,0.00706,151.59901428222656,80.89113617,24.45148468017578,42.59395217895508,28.57999992370605,121.79000091552734,19.26000022888184,82.01501465,60.65679931640625,12303050.0
2014-01-24,916.55,2193847870.0,,1.3689066171646118,0.009673987,0.00707,148.3644256591797,79.30033874511719,23.87365723,41.987606048583984,28.075000762939453,122.29000091552734,19.15999984741211,82.54494476,60.81433105,12307775.0
2014-01-25,961.05,2193847870.0,,,,,,,,,,,,,,12311900.0
2014-01-26,1007.0,2193847870.0,,,,,,,,,,,,,,12315700.0
2014-01-27,943.54,2193847870.0,11033.2,1.3687942028045654,0.009799118,0.00716,147.63470458984375,78.53240966796875,23.639604568481445,41.54737854003906,27.81999969482422,120.95999908447266,18.88999938964844,81.96891021728516,60.70186233520508,12320050.0
2014-01-28,932.68,2193847870.0,,1.367465257644653,0.009740797,0.00712,148.51380920410156,78.48667907714844,23.82245635986328,41.80486297607422,27.94499969482422,120.9499969482422,18.850000381469727,82.16863250732422,60.75434112548828,12323900.0
2014-01-29,925.67,2193847870.0,,1.3655046224594116,0.009687012,0.00709,147.0873260498047,77.64559173583984,23.676176071166992,41.63874816894531,27.88500022888184,122.47000122070312,19.020000457763672,82.84443664550781,60.88936614990234,12327700.0
2014-01-30,941.39,2193847870.0,,1.365859031677246,0.009775171,0.00716,148.64649963378906,79.08094024658203,23.78587913513184,41.64704895019531,28.14999961853028,119.7699966430664,18.489999771118164,82.60636138916016,60.88936614990234,12332100.0
2014-01-31,938.85,2193847870.0,,1.3558770418167114,0.009731602,0.00718,147.77565002441406,78.87068176269531,23.70543098449707,40.82474899291992,28.02499961853028,120.08999633789062,18.450000762939453,83.15937042236328,60.971866607666016,12336700.0
2014-02-01,940.42,2193847870.0,,,,,,,,,,,,,,12341425.0
2014-02-02,953.31,2193847870.0,,,,,,,,,,,,,,12346075.0
2014-02-03,931.71,2193847870.0,11089.1,1.3488178253173828,0.009785501,0.00725,144.4499053955078,77.06051635742188,23.317773818969727,39.96921157836914,27.63999938964844,121.31999969482422,18.61000061035156,84.17256927490234,61.16807556152344,12350600.0
