Date,BalanceSheet_global,BTC_USD,Mining_Difficulty,USD_OnChain_Volume,GDP_usa,HashRate,M2_Liquidity,Dollar_Index,QQQ,GLD,TLT,10YR_USA,VIX,OIL_USD,Miners_Revenue_USD,Nr_Tx_Block,Nr_Transactions,Nr_Addresses,BTC_Supply,L1.BalanceSheet_global,L2.BalanceSheet_global,L1.BTC_USD,L2.BTC_USD,L1.Mining_Difficulty,L2.Mining_Difficulty,L1.USD_OnChain_Volume,L2.USD_OnChain_Volume,L1.GDP_usa,L2.GDP_usa,L1.HashRate,L2.HashRate,L1.M2_Liquidity,L2.M2_Liquidity,L1.Dollar_Index,L2.Dollar_Index,L1.QQQ,L2.QQQ,L1.GLD,L2.GLD,L1.TLT,L2.TLT,L1.10YR_USA,L2.10YR_USA,L1.VIX,L2.VIX,L1.OIL_USD,L2.OIL_USD,L1.Miners_Revenue_USD,L2.Miners_Revenue_USD,L1.Nr_Tx_Block,L2.Nr_Tx_Block,L1.Nr_Transactions,L2.Nr_Transactions,L1.Nr_Addresses,L2.Nr_Addresses,L1.BTC_Supply,L2.BTC_Supply
2014-09-12,4.172197610755018,2.679182514520454,10.438204130373986,7.743066235557548,4.252542127616211,5.34147612517434,4.060157468566593,1.9255183471642165,1.9627481919887246,2.0732783255595937,1.9486030493821953,0.41730559687080393,1.1241780691664267,1.9650605048108543,6.33355954479794,2.6474337796475123,4.834954500483976,5.165081026825811,7.122536154755974,4.173508966286244,4.170465360557114,2.6845311921093638,2.709744710983804,10.438204130373986,10.377391317068966,7.726807746811458,8.151004922214643,4.2523406514205195,4.2521390817133975,5.307836517554764,5.293945523877525,4.058137411265216,4.055894131950791,1.9230366797471123,1.9177680024477564,1.9645342500826986,1.9640558062333568,2.086573356933951,2.0929310778136485,1.9575124629426162,1.9688062235569095,0.3911116076441606,0.3697722765765044,1.0824263063420025,1.0824263063420025,1.969835097337867,1.9820902351523115,6.321346457454618,6.425857228454141,2.671383536660144,2.605963816812593,4.832751538895118,4.836412738190868,5.194014546374698,5.148238533818843,7.121630415410031,7.120706337935748
2014-09-19,4.174647859537945,2.5995228292915153,10.474649367901954,7.97102848036278,4.2527435103871944,5.38061050121309,4.060924369689481,1.9283958678859774,1.965957396723396,2.0685197924179075,1.9532511496392595,0.41279641078548196,1.0831441308306509,1.965718987454846,6.335420844736386,2.6085948386485365,4.8415909490406905,5.155524292167186,7.123520896137198,4.172197610755018,4.173508966286244,2.679182514520454,2.6845311921093638,10.438204130373986,10.438204130373986,7.743066235557548,7.726807746811458,4.252542127616211,4.2523406514205195,5.34147612517434,5.307836517554764,4.060157468566593,4.058137411265216,1.9255183471642165,1.9230366797471123,1.9627481919887246,1.9645342500826986,2.0732783255595937,2.086573356933951,1.9486030493821953,1.9575124629426162,0.41730559687080393,0.3911116076441606,1.1241780691664267,1.0824263063420025,1.9650605048108543,1.969835097337867,6.33355954479794,6.321346457454618,2.6474337796475123,2.671383536660144,4.834954500483976,4.832751538895118,5.165081026825811,5.194014546374698,7.122536154755974,7.121630415410031
2014-09-26,4.175326691405922,2.606875577522435,10.539846425030426,7.691401599143065,4.252944799820071,5.415269491092102,4.0579436290288395,1.932676655527208,1.9607134410628049,2.0684085107205052,1.958524740279207,0.4039779783738099,1.1717264648094734,1.9709973698231638,6.198273584843679,2.733562548079329,4.860667346444137,5.188633231831517,7.124434934339001,4.174647859537945,4.172197610755018,2.5995228292915153,2.679182514520454,10.474649367901954,10.438204130373986,7.97102848036278,7.743066235557548,4.2527435103871944,4.252542127616211,5.38061050121309,5.34147612517434,4.060924369689481,4.060157468566593,1.9283958678859774,1.9255183471642165,1.965957396723396,1.9627481919887246,2.0685197924179075,2.0732783255595937,1.9532511496392595,1.9486030493821953,0.41279641078548196,0.41730559687080393,1.0831441308306509,1.1241780691664267,1.965718987454846,1.9650605048108543,6.335420844736386,6.33355954479794,2.6085948386485365,2.6474337796475123,4.8415909490406905,4.834954500483976,5.155524292167186,5.165081026825811,7.123520896137198,7.122536154755974
2014-10-03,4.176021998039742,2.5604446731931874,10.539846425030426,7.825117929714294,4.253145996001323,5.3855116564543115,4.0584715774331395,1.9379690151822666,1.9580229841737284,2.0592225148425096,1.965923817289613,0.3886339740910265,1.16286299901506,1.9529860548588216,6.181074375316162,2.7084440258143414,4.875761360562517,5.176345970443694,7.125243721368478,4.175326691405922,4.174647859537945,2.606875577522435,2.5995228292915153,10.539846425030426,10.474649367901954,7.691401599143065,7.97102848036278,4.252944799820071,4.2527435103871944,5.415269491092102,5.38061050121309,4.0579436290288395,4.060924369689481,1.932676655527208,1.9283958678859774,1.9607134410628049,1.965957396723396,2.0684085107205052,2.0685197924179075,1.958524740279207,1.9532511496392595,0.4039779783738099,0.41279641078548196,1.1717264648094734,1.0831441308306509,1.9709973698231638,1.965718987454846,6.198273584843679,6.335420844736386,2.733562548079329,2.6085948386485365,4.860667346444137,4.8415909490406905,5.188633231831517,5.155524292167186,7.124434934339001,7.123520896137198
2014-10-10,4.174282823066465,2.55836051563136,10.544098841265551,7.9313540068713735,4.25342836892242,5.441942084354508,4.062472926900262,1.9340437375483162,1.9412001568426949,2.070370376841755,1.974509633713665,0.3630475797996409,1.3271545077294824,1.9335885086523026,6.207946747081972,2.7184641857199696,4.908795883890261,5.234626096585755,7.126109480846464,4.176021998039742,4.175326691405922,2.5604446731931874,2.606875577522435,10.539846425030426,10.539846425030426,7.825117929714294,7.691401599143065,4.253145996001323,4.252944799820071,5.3855116564543115,5.415269491092102,4.0584715774331395,4.0579436290288395,1.9379690151822666,1.932676655527208,1.9580229841737284,1.9607134410628049,2.0592225148425096,2.0684085107205052,1.965923817289613,1.958524740279207,0.3886339740910265,0.4039779783738099,1.16286299901506,1.1717264648094734,1.9529860548588216,1.9709973698231638,6.181074375316162,6.198273584843679,2.7084440258143414,2.733562548079329,4.875761360562517,4.860667346444137,5.176345970443694,5.188633231831517,7.125243721368478,7.124434934339001
2014-10-17,4.176406485849748,2.5803318329385974,10.544098841265551,7.758019228499124,4.25371055836741,5.367649758398866,4.062487970918585,1.930388630690492,1.9345271150945473,2.075510456727514,1.9781840637633263,0.3422252060057369,1.3422252248404576,1.9177680024477564,6.159591982349898,2.697984077452496,4.850272421835552,5.197572746892689,7.126937044033753,4.174282823066465,4.176021998039742,2.55836051563136,2.5604446731931874,10.544098841265551,10.539846425030426,7.9313540068713735,7.825117929714294,4.25342836892242,4.253145996001323,5.441942084354508,5.3855116564543115,4.062472926900262,4.0584715774331395,1.9340437375483162,1.9379690151822666,1.9412001568426949,1.9580229841737284,2.070370376841755,2.0592225148425096,1.974509633713665,1.965923817289613,0.3630475797996409,0.3886339740910265,1.3271545077294824,1.16286299901506,1.9335885086523026,1.9529860548588216,6.207946747081972,6.181074375316162,2.7184641857199696,2.7084440258143414,4.908795883890261,4.875761360562517,5.234626096585755,5.176345970443694,7.126109480846464,7.125243721368478
2014-10-24,4.176802519707633,2.5503506723016156,10.556129234163038,7.791416302464219,4.253992564574571,5.464762957335502,4.062965347764875,1.933132840732423,1.9600092107068323,2.0731682566657708,1.9733139988042059,0.35659943608940153,1.207095556873117,1.9085386436242875,6.205011997649756,2.6901737822166334,4.891570906537084,5.199063704032608,7.127792157148949,4.176406485849748,4.174282823066465,2.5803318329385974,2.55836051563136,10.544098841265551,10.544098841265551,7.758019228499124,7.9313540068713735,4.25371055836741,4.25342836892242,5.367649758398866,5.441942084354508,4.062487970918585,4.062472926900262,1.930388630690492,1.9340437375483162,1.9345271150945473,1.9412001568426949,2.075510456727514,2.070370376841755,1.9781840637633263,1.974509633713665,0.3422252060057369,0.3630475797996409,1.3422252248404576,1.3271545077294824,1.9177680024477564,1.9335885086523026,6.159591982349898,6.207946747081972,2.697984077452496,2.7184641857199696,4.850272421835552,4.908795883890261,5.197572746892689,5.234626096585755,7.126937044033753,7.126109480846464
2014-10-31,4.176736977124967,2.5287496318078495,10.556129234163038,7.668216975011473,4.254274387781718,5.526733202195223,4.061312969739176,1.9389197985151971,1.9720822038318448,2.0517697610164443,1.9716056408185871,0.3682868919972143,1.1470576627625624,1.9060116302081953,6.263588786887196,2.658838175234104,4.9329960244977835,5.230701760433507,7.128673039978989,4.176802519707633,4.176406485849748,2.5503506723016156,2.5803318329385974,10.556129234163038,10.544098841265551,7.791416302464219,7.758019228499124,4.253992564574571,4.25371055836741,5.464762957335502,5.367649758398866,4.062965347764875,4.062487970918585,1.933132840732423,1.930388630690492,1.9600092107068323,1.9345271150945473,2.0731682566657708,2.075510456727514,1.9733139988042059,1.9781840637633263,0.35659943608940153,0.3422252060057369,1.207095556873117,1.3422252248404576,1.9085386436242875,1.9177680024477564,6.205011997649756,6.159591982349898,2.6901737822166334,2.697984077452496,4.891570906537084,4.850272421835552,5.199063704032608,5.197572746892689,7.127792157148949,7.126937044033753
2014-11-07,4.175751835335247,2.5338609919750157,10.597735391973314,7.827155828213531,4.254556028226202,5.452544002837069,4.063171923050205,1.9427023658641092,1.972937961094839,2.0529631334482943,1.974480469019542,0.3639878365558741,1.117933831251451,1.895698735384999,6.196297271187199,2.749756785708672,4.928733733001842,5.214202525585886,7.129549722623522,4.176736977124967,4.176802519707633,2.5287496318078495,2.5503506723016156,10.556129234163038,10.556129234163038,7.668216975011473,7.791416302464219,4.254274387781718,4.253992564574571,5.526733202195223,5.464762957335502,4.061312969739176,4.062965347764875,1.9389197985151971,1.933132840732423,1.9720822038318448,1.9600092107068323,2.0517697610164443,2.0731682566657708,1.9716056408185871,1.9733139988042059,0.3682868919972143,0.35659943608940153,1.1470576627625624,1.207095556873117,1.9060116302081953,1.9085386436242875,6.263588786887196,6.205011997649756,2.658838175234104,2.6901737822166334,4.9329960244977835,4.891570906537084,5.230701760433507,5.199063704032608,7.128673039978989,7.127792157148949
2014-11-14,4.176383701335186,2.598276050018283,10.597735391973314,7.961779814508869,4.254837486144913,5.458534366526256,4.064910767192464,1.9421569224107713,1.9798080623603516,2.0586916874505277,1.9735365141669883,0.36548797239422515,1.1241780691664267,1.879783778342379,6.242709531056701,2.748525300117294,4.936046020953757,5.293064081916136,7.130374783259297,4.175751835335247,4.176736977124967,2.5338609919750157,2.5287496318078495,10.597735391973314,10.556129234163038,7.827155828213531,7.668216975011473,4.254556028226202,4.254274387781718,5.452544002837069,5.526733202195223,4.063171923050205,4.061312969739176,1.9427023658641092,1.9389197985151971,1.972937961094839,1.9720822038318448,2.0529631334482943,2.0517697610164443,1.974480469019542,1.9716056408185871,0.3639878365558741,0.3682868919972143,1.117933831251451,1.1470576627625624,1.895698735384999,1.9060116302081953,6.196297271187199,6.263588786887196,2.749756785708672,2.658838175234104,4.928733733001842,4.9329960244977835,5.214202525585886,5.230701760433507,7.129549722623522,7.128673039978989
2014-11-21,4.175688208944151,2.546258798765529,10.605305372970662,7.733787653225916,4.25511876177428,5.395173176901401,4.0657178603885615,1.9460098727593185,1.9825343273438718,2.0621681710545965,1.9757475715331065,0.36455100608854185,1.1105896974565979,1.8837182140898658,6.088372839682645,2.8109571312640758,4.914760852220033,5.233140851097344,7.131173396586248,4.176383701335186,4.175751835335247,2.598276050018283,2.5338609919750157,10.597735391973314,10.597735391973314,7.961779814508869,7.827155828213531,4.254837486144913,4.254556028226202,5.458534366526256,5.452544002837069,4.064910767192464,4.063171923050205,1.9421569224107713,1.9427023658641092,1.9798080623603516,1.972937961094839,2.0586916874505277,2.0529631334482943,1.9735365141669883,1.974480469019542,0.36548797239422515,0.3639878365558741,1.1241780691664267,1.117933831251451,1.879783778342379,1.895698735384999,6.242709531056701,6.196297271187199,2.748525300117294,2.749756785708672,4.936046020953757,4.928733733001842,5.293064081916136,5.214202525585886,7.130374783259297,7.129549722623522
