Date,BTC_Search,BTC_USD,Mining_Difficulty,USD_OnChain_Volume,M2_Liquidity,EUR_USD,JPY_USD,JPY_EUR,SPY,QQQ,EXSA,JPXN,IWDA,GLD,SLV,TLT,BND,Nr_Transactions,Nr_Addresses,BTC_PageViews,Crypto_PageViews,BTC_Supply
2014-08-07,,592.8,18736441558.3102,56835947.5769342,,1.3382940292358398,0.009793072938919,0.0073199998587369,159.89474487304688,86.92713928222656,24.666645050048828,41.799110412597656,30.36000061035156,126.18000030517578,19.170000076293945,90.50508880615234,62.58604049682617,69913.0,151230.0,,,13111625.0
2014-08-08,,595.85,19729645940.5771,48448897.9905319,,1.3358268737792969,0.0097915381193161,0.0073299999348819,161.7445526123047,87.55452728271484,24.47335624694824,41.87435150146485,30.155000686645508,126.19000244140624,19.190000534057617,90.30963134765624,62.54034805297852,68262.0,149498.0,,,13115550.0
2014-08-09,,589.52,19729645940.5771,59808828.947551,,,,,,,,,,,,,,60634.0,130462.0,,,13120125.0
2014-08-10,,592.06,19729645940.5771,40522211.8148469,,,,,,,,,,,,,,57913.0,174825.0,,,13124550.0
2014-08-11,,575.89,19729645940.5771,57307734.4788175,11420.8,1.3405184745788574,0.0097890459001064,0.0073000001721084,162.2132568359375,88.07115173339844,24.76329231262207,42.2756233215332,30.6200008392334,125.95999908447266,19.229999542236328,90.30181121826172,62.5708122253418,75575.0,170341.0,,,13129100.0
2014-08-12,,567.66,19729645940.5771,69276611.8060764,,1.3384909629821775,0.0097842570394277,0.007309999782592,161.98728942871094,88.03424835205078,24.76329231262207,42.20874786376953,30.530000686645508,125.98999786376952,19.170000076293945,89.71552276611328,62.51751708984375,76982.0,175058.0,,,13133450.0
2014-08-13,,542.1,19729645940.5771,78272186.0128435,,1.3366124629974363,0.0097768912091851,0.007309999782592,163.08375549316406,88.96607971191406,24.837635040283203,42.66017150878906,30.75,126.1999969482422,19.040000915527344,90.30181121826172,62.6317024230957,75738.0,169355.0,,,13137075.0
2014-08-14,,504.8,19729645940.5771,87625194.1858891,,1.3367911577224731,0.0097648622468113,0.0073000001721084,163.85377502441406,89.4273910522461,24.91197395324707,42.68524932861328,30.795000076293945,126.30999755859376,19.100000381469727,91.02889251708984,62.69263458251953,79082.0,165350.0,,,13141575.0
2014-08-15,,496.45,19729645940.5771,76202505.7923246,,1.3363981246948242,0.0097564784809947,0.0073000001721084,163.82034301757812,89.8609848022461,24.94915008544922,42.45954132080078,30.674999237060547,125.4800033569336,18.86000061035156,92.02174377441406,62.806888580322266,73193.0,158933.0,,,13145700.0
2014-08-16,,522.01,19729645940.5771,48406543.9537011,,,,,,,,,,,,,,67974.0,146332.0,,,13149650.0
2014-08-17,,485.5,19729645940.5771,55693291.7949953,,,,,,,,,,,,,,60223.0,179878.0,,,13153900.0
2014-08-18,,462.18,19729645940.5771,100738559.178476,11431.7,1.339046597480774,0.0097646713256835,0.0072900000959634,165.1930389404297,90.55294799804688,25.142433166503903,43.01963806152344,31.100000381469727,124.95999908447266,18.8700008392334,91.10704803466795,62.67743682861328,72758.0,167625.0,,,13158850.0
2014-08-19,,485.12,19729645940.5771,59354731.2110874,,1.336112380027771,0.0097456388175487,0.0072900000959634,166.05511474609375,91.06037902832033,25.298553466796875,42.96112823486328,31.28499984741211,124.68000030517578,18.700000762939453,90.82561492919922,62.66976547241211,74740.0,161716.0,,,13163500.0
2014-08-20,,516.78,23844670038.8033,57081386.2025239,,1.332196593284607,0.0097172278910875,0.0072900000959634,166.49874877929688,91.06037902832033,25.29112243652344,42.71868896484375,31.3799991607666,124.22000122070312,18.71999931335449,90.6770248413086,62.578407287597656,73842.0,163469.0,,,13167725.0
2014-08-21,,517.94,23844670038.8033,84522107.4358712,,1.3260489702224731,0.0096431085839867,0.0072699999436736,166.98423767089844,91.24490356445312,25.44723892211914,43.069801330566406,31.53499984741211,122.87999725341795,18.690000534057617,91.18519592285156,62.646949768066406,73164.0,169811.0,,,13171850.0
2014-08-22,,516.1,23844670038.8033,55191272.9953937,,1.3279330730438232,0.0096293659880757,0.0072499997913837,166.7247772216797,91.38329315185548,25.38776206970215,42.45117568969727,31.559999465942383,123.19000244140624,18.690000534057617,91.69336700439452,62.646949768066406,66998.0,156690.0,,,13175775.0
2014-08-23,,497.68,23844670038.8033,46880152.9829715,,,,,,,,,,,,,,57593.0,128246.0,,,13179825.0
2014-08-24,,509.71,23844670038.8033,29057714.2754075,,,,,,,,,,,,,,56695.0,185028.0,,,13183475.0
2014-08-25,,502.93,23844670038.8033,87205170.9662292,11373.5,1.3198705911636353,0.0095968367531895,0.0072699999436736,167.5701446533203,91.70619201660156,25.79664421081543,42.79393005371094,31.875,122.73999786376952,18.600000381469727,92.0373077392578,62.66976547241211,69894.0,154245.0,,,13186900.0
2014-08-26,,512.56,23844670038.8033,51167041.1856412,,1.3188958168029783,0.0096089169383049,0.0072900000959634,167.6788787841797,91.79845428466795,25.85611343383789,42.492977142333984,31.915000915527344,123.3499984741211,18.6299991607666,91.74030303955078,62.700233459472656,72660.0,163451.0,,,13191225.0
2014-08-27,,515.23,23844670038.8033,67757832.9475523,,1.3170199394226074,0.009607071056962,0.0073000001721084,167.61196899414062,91.81692504882812,25.90815734863281,42.46790313720703,31.8799991607666,123.31999969482422,18.65999984741211,92.52205657958984,62.79928207397461,74581.0,157523.0,,,13195450.0
2014-08-28,,510.75,23844670038.8033,76042279.020138,,1.319087266921997,0.0096266772598028,0.0073000001721084,167.51991271972656,91.71542358398438,25.73716926574707,42.36758804321289,31.809999465942383,124.0,18.739999771118164,93.0067138671875,62.88298797607422,68628.0,167080.0,,,13199775.0
2014-08-29,,512.56,23844670038.8033,141580982.639713,,1.3184958696365356,0.0096435733139514,0.007309999782592,167.9970703125,92.05680847167967,25.76691055297852,42.359222412109375,31.934999465942383,123.86000061035156,18.709999084472656,93.06929779052734,62.88298797607422,68614.0,140682.0,,,13204025.0
2014-08-30,,505.96,23844670038.8033,31885454.5252513,,,,,,,,,,,,,,61214.0,141380.0,,,13208575.0
2014-08-31,,481.78,23844670038.8033,37719819.1746288,,,,,,,,,,,,,,57755.0,170749.0,,,13213275.0
2014-09-01,3,477.19,27428630902.2579,51028445.2991757,11432.4,1.3127838373184204,0.0095998775213956,0.007309999782592,167.9970703125,92.05680847167967,25.82638168334961,42.359222412109375,32.01499938964844,123.86000061035156,18.709999084472656,93.06929779052734,62.88298797607422,70383.0,167302.0,,,13216675.0
2014-09-02,,478.94,27428630902.2579,64277641.9777757,,1.3131976127624512,0.0095840524882078,0.0073000001721084,167.9132843017578,92.32433319091795,25.84124565124512,42.78557968139648,32.040000915527344,121.6500015258789,18.40999984741211,91.46379852294922,62.66860961914063,71909.0,155595.0,,,13220350.0
2014-09-03,,480.04,27428630902.2579,53372877.870836,,1.3131976127624512,0.0095023615285754,0.0072400001809,167.82125854492188,91.7799835205078,26.00480461120605,42.65181350708008,32.099998474121094,122.1500015258789,18.43000030517578,91.97307586669922,62.77540969848633,71868.0,146140.0,,,13224575.0
2014-09-04,,490.99,27428630902.2579,51753676.3961794,,1.3150973320007324,0.0095355240628123,0.0072499997913837,167.5785369873047,91.6969757080078,26.279865264892575,42.52642059326172,32.54999923706055,121.4800033569336,18.31999969482422,90.85262298583984,62.66860961914063,70810.0,153958.0,,,13228525.0
2014-09-05,,483.65,27428630902.2579,53309885.1405317,,1.2932761907577517,0.0094713112339377,0.0073199998587369,168.3318328857422,92.15827178955078,26.183229446411133,42.5180549621582,32.36000061035156,122.05999755859376,18.420000076293945,90.68023681640624,62.64567565917969,68038.0,156320.0,,,13232150.0
2014-09-06,,484.47,27428630902.2579,46143987.7896671,,,,,,,,,,,,,,63369.0,133875.0,,,13236625.0
2014-09-07,,485.75,27428630902.2579,40143079.723515,,,,,,,,,,,,,,60352.0,212749.0,,,13240500.0
2014-09-08,,475.69,27428630902.2579,54168659.4099172,11485.7,1.2953367233276367,0.0095075108110904,0.0073400000110268,167.8965606689453,92.33354949951172,26.06427574157715,42.50970458984375,32.439998626708984,120.7300033569336,18.26000022888184,90.71939086914062,62.599891662597656,75766.0,161630.0,,,13244100.0
2014-09-09,,474.9,27428630902.2579,71329335.8142907,,1.2891082763671875,0.0094197439029812,0.007309999782592,166.8336181640625,91.56780242919922,25.97506523132324,42.06663513183594,32.345001220703125,120.87000274658205,18.309999465942383,90.64886474609376,62.49306869506836,81812.0,174038.0,,,13247750.0
