Date,BTC_Supply,BTC_USD,BalanceSheet_FED,BalanceSheet_global,Bitcoin_Wikipedia_Search,Dollar_Index,GLD,HashRate,M2_Liquidity,Miners_Revenue_USD,Mining_Difficulty,Nr_Addresses,Nr_Transactions,OIL_USD,QQQ,TLT,Ten_YR_USA,USD_OnChain_Volume,VIX
2017-09-29,16595025.0,4172.79,4455661.0,16528.9075,77939.0,93.08000183105467,121.58000183105467,9269710.48294108,13613.7,56469361.41822979,1103400932964.0,505758.71428571426,238252.0,51.66999816894531,138.86485290527344,105.37105560302734,2.325999975204468,4894250928.767404,9.510000228881836
2017-10-06,16607762.5,4371.94,4460422.0,16571.8343,76266.0,93.8000030517578,121.08999633789062,8882939.96198973,13738.2,60141748.06309765,1123863285132.0,534350.2857142857,254747.57142857142,49.290000915527344,140.97482299804688,104.59410858154295,2.369999885559082,4879302522.298506,9.649999618530272
2017-10-13,16621375.0,5637.26,4459415.0,16543.9843,101789.0,93.08999633789062,123.81999969482422,7597986.38258241,13778.1,71937188.95217307,1123863285132.0,579021.4285714285,280728.5714285714,51.45000076293945,141.62405395507812,106.50676727294922,2.2799999713897705,6936094771.256541,9.609999656677246
2017-10-20,16636150.0,5993.11,4469723.0,16612.8843,111610.0,93.6999969482422,121.61000061035156,10649226.8650745,13789.0,91933643.5373489,1196792694098.0,638671.2857142857,317821.28571428574,51.470001220703125,141.97727966308594,104.92418670654295,2.38100004196167,8072799329.49509,9.970000267028809
2017-10-27,16650425.0,5764.56,4461117.0,16602.7875,123183.0,94.91999816894533,120.9000015258789,7510989.94359475,13704.6,90362781.50758535,1452839779145.0,611642.8571428572,298948.28571428574,53.900001525878906,144.39279174804688,104.29790496826172,2.427999973297119,11641921680.079048,9.800000190734863
2017-11-03,16662287.5,7152.12,4455887.0,16633.5746,141578.0,94.94000244140624,120.62000274658205,8594305.80084399,13711.2,88074874.50752479,1452839779145.0,643048.5714285715,300757.71428571426,55.63999938964844,146.33079528808594,106.5542221069336,2.3429999351501465,11148159620.290678,9.140000343322754
2017-11-10,16674500.0,6565.8,4458552.0,16642.5021,141759.0,94.38999938964844,121.12999725341795,8139094.7449613,13822.2,103830291.1830145,1423367213138.33,637254.2857142857,295269.4285714286,56.7400016784668,146.72227478027344,105.24816131591795,2.400000095367432,12481184368.33346,11.289999961853027
2017-11-17,16685737.5,7699.95,4448289.0,16657.9435,135077.0,93.66000366210938,122.86000061035156,11326906.8534045,13825.5,104871896.52169177,1364422081125.0,613348.1428571428,271527.85714285716,56.54999923706055,146.98007202148438,107.19027709960938,2.3540000915527344,14640916661.11607,11.43000030517578
2017-11-24,16699462.5,8200.8,4450615.0,16659.1566,134313.0,92.76000213623048,122.31999969482422,9977010.84137572,13821.2,128234441.1226328,1361966821649.11,689456.0,316142.71428571426,58.95000076293945,149.1854705810547,107.5379867553711,2.3399999141693115,15775486988.97541,9.670000076293944
2017-12-01,16713937.5,10861.47,4438592.0,16670.4155,378311.0,92.9000015258789,121.58999633789062,12253644.1877299,13803.6,158218873.94824278,1347001430558.0,811461.2857142857,372426.14285714284,58.36000061035156,147.49562072753906,107.5451431274414,2.361999988555908,21455597355.57621,11.43000030517578
2017-12-08,16728837.5,16047.61,4437148.0,16729.1156,512773.0,93.9000015258789,118.4800033569336,12337090.7722833,13878.3,218571857.88430882,1590896927258.0,853226.4285714285,384198.4285714286,57.36000061035156,147.69613647460938,107.66412353515624,2.382999897003174,22757188882.951912,9.579999923706056
2017-12-15,16743900.0,17604.85,4452726.0,16721.1997,508362.0,93.93000030517578,119.18000030517578,13365181.6699736,13935.0,316269362.3408552,1590896927258.0,903749.5714285715,401041.85714285716,57.29999923706055,150.5125274658203,109.07483673095705,2.3550000190734863,30188470611.35843,9.420000076293944
2017-12-22,16757662.5,13664.97,4447470.0,16705.1793,348793.0,93.3499984741211,120.94000244140624,14432449.6237856,13965.8,343416798.5074889,1873105475221.0,870332.5714285715,373628.5714285714,58.470001220703125,150.5594024658203,106.2566909790039,2.484999895095825,30685918133.13139,9.899999618530272
