Date,BalanceSheet_global,BalanceSheet_usa,BTC_USD,Mining_Difficulty,USD_OnChain_Volume,GDP_usa,HashRate,M2_Liquidity,EURUSD=X,DX-Y.NYB,SPY,QQQ,IWDA.AS,GLD,TLT,^TNX,^VIX,CL=F,Miners_Revenue_USD,Nr_Tx_Block,Nr_Transactions,Nr_Addresses,BTC_Supply,L1.BalanceSheet_global,L2.BalanceSheet_global,L1.BalanceSheet_usa,L2.BalanceSheet_usa,L1.BTC_USD,L2.BTC_USD,L1.Mining_Difficulty,L2.Mining_Difficulty,L1.USD_OnChain_Volume,L2.USD_OnChain_Volume,L1.GDP_usa,L2.GDP_usa,L1.HashRate,L2.HashRate,L1.M2_Liquidity,L2.M2_Liquidity,L1.EURUSD=X,L2.EURUSD=X,L1.DX-Y.NYB,L2.DX-Y.NYB,L1.SPY,L2.SPY,L1.QQQ,L2.QQQ,L1.IWDA.AS,L2.IWDA.AS,L1.GLD,L2.GLD,L1.TLT,L2.TLT,L1.^TNX,L2.^TNX,L1.^VIX,L2.^VIX,L1.CL=F,L2.CL=F,L1.Miners_Revenue_USD,L2.Miners_Revenue_USD,L1.Nr_Tx_Block,L2.Nr_Tx_Block,L1.Nr_Transactions,L2.Nr_Transactions,L1.Nr_Addresses,L2.Nr_Addresses,L1.BTC_Supply,L2.BTC_Supply
2011-05-13,4.087652288258015,6.438462918634019,0.913707913980483,5.197049981257341,6.335547363117169,4.193100726492327,0.1966921574463351,3.9555819292428422,0.15344640434533346,1.879439978241166,2.0206363977160775,1.7136688406830778,1.329499566453349,2.163250864074043,1.8293157500075359,0.5033820684121288,1.2322335133504596,1.9984773096865895,4.835841931506452,1.2929833538189452,3.6089536992758626,3.8726806071519295,6.7915327588389385,4.086812713115502,4.085688968583195,6.4343703924807665,6.429911276940498,0.538070787043172,0.45939248775923086,5.040088371309327,4.965425570595335,5.550725099011253,5.747560184892788,4.1929076367755655,4.1927144611718665,0.03538756648754088,-0.032776941189536134,3.954141162235914,3.955037987024298,0.1626957025241219,0.1626957025241219,1.8741337575768509,1.8681151909621,2.021154396479259,2.0283116685878295,1.7141148726436894,1.7186221964231592,1.3265406497702874,1.3225293817279742,2.162265623419574,2.182899453630963,1.829270244797678,1.8219917045996314,0.4992745908133238,0.5179872035277183,1.2648178140057216,1.1687920203141817,1.9875768960908087,2.0503410853749915,4.588234810512688,4.425203832074972,1.1787394043453707,1.247236549506764,3.5171958979499744,3.5482665451707454,3.7617023675414125,3.751048034820188,6.786513630503123,6.781532786564054
2011-05-20,4.085715557731545,6.440595679042137,0.7474118078864233,5.387589996675544,5.7350528814733845,4.193293730398489,0.43428413377821196,3.9566677741172263,0.1558273596844363,1.877544109473019,2.0192409770222666,1.708883933220193,1.3276653745848497,2.1687625917973574,1.8304107068411724,0.49858620198467324,1.2412973947139034,1.9977794215405147,4.919701748347279,1.3383659306844753,3.6807886115066824,3.9891827512555476,6.797267540830717,4.087652288258015,4.086812713115502,6.438462918634019,6.4343703924807665,0.913707913980483,0.538070787043172,5.197049981257341,5.040088371309327,6.335547363117169,5.550725099011253,4.193100726492327,4.1929076367755655,0.1966921574463351,0.03538756648754088,3.9555819292428422,3.954141162235914,0.15344640434533346,0.1626957025241219,1.879439978241166,1.8741337575768509,2.0206363977160775,2.021154396479259,1.7136688406830778,1.7141148726436894,1.329499566453349,1.3265406497702874,2.163250864074043,2.162265623419574,1.8293157500075359,1.829270244797678,0.5033820684121288,0.4992745908133238,1.2322335133504596,1.2648178140057216,1.9984773096865895,1.9875768960908087,4.835841931506452,4.588234810512688,1.2929833538189452,1.1787394043453707,3.6089536992758626,3.5171958979499744,3.8726806071519295,3.7617023675414125,6.7915327588389385,6.786513630503123
2011-05-27,4.0877630450612195,6.44326236144818,0.9294189257142927,5.638366484547878,6.498407597129074,4.1934866485702855,0.6314777935779139,3.9541701209931364,0.1502981053621535,1.8747716195010213,2.0189158228822506,1.7063205911762118,1.325925962029075,2.1752217914896015,1.8356193153695954,0.48628874555064233,1.2035767625371565,2.0025547923374285,4.8876073093705825,1.4632938201677028,3.6860102913152857,3.9484618700612835,6.803549291015457,4.085715557731545,4.087652288258015,6.440595679042137,6.438462918634019,0.7474118078864233,0.913707913980483,5.387589996675544,5.197049981257341,5.7350528814733845,6.335547363117169,4.193293730398489,4.193100726492327,0.43428413377821196,0.1966921574463351,3.9566677741172263,3.9555819292428422,0.1558273596844363,0.15344640434533346,1.877544109473019,1.879439978241166,2.0192409770222666,2.0206363977160775,1.708883933220193,1.7136688406830778,1.3276653745848497,1.329499566453349,2.1687625917973574,2.163250864074043,1.8304107068411724,1.8293157500075359,0.49858620198467324,0.5033820684121288,1.2412973947139034,1.2322335133504596,1.9977794215405147,1.9984773096865895,4.919701748347279,4.835841931506452,1.3383659306844753,1.2929833538189452,3.6807886115066824,3.6089536992758626,3.9891827512555476,3.8726806071519295,6.797267540830717,6.7915327588389385
2011-06-03,4.089193037116223,6.445405378537873,1.1550322287909702,5.638366484547878,6.231222302158067,4.193679481083853,0.6423086412295951,3.9550668860449303,0.16094953342842247,1.8681151909621,2.008746131911315,1.6980754586461153,1.3106933285458247,2.1767277611733107,1.8365720092769342,0.47668673990531746,1.2540644713734124,2.0009544036962668,5.068901610903039,1.6210425308230585,3.9263939002696824,4.175279818442385,6.807690588571108,4.0877630450612195,4.085715557731545,6.44326236144818,6.440595679042137,0.9294189257142927,0.7474118078864233,5.638366484547878,5.387589996675544,6.498407597129074,5.7350528814733845,4.1934866485702855,4.193293730398489,0.6314777935779139,0.43428413377821196,3.9541701209931364,3.9566677741172263,0.1502981053621535,0.1558273596844363,1.8747716195010213,1.877544109473019,2.0189158228822506,2.0192409770222666,1.7063205911762118,1.708883933220193,1.325925962029075,1.3276653745848497,2.1752217914896015,2.1687625917973574,1.8356193153695954,1.8304107068411724,0.48628874555064233,0.49858620198467324,1.2035767625371565,1.2412973947139034,2.0025547923374285,1.9977794215405147,4.8876073093705825,4.919701748347279,1.4632938201677028,1.3383659306844753,3.6860102913152857,3.6807886115066824,3.9484618700612835,3.9891827512555476,6.803549291015457,6.797267540830717
2011-06-10,4.091191456138923,6.44889267107357,1.379305517750582,5.753789456863295,6.626143061720109,4.193872228015223,0.8043440147792008,3.958774051911357,0.16183749479064544,1.8738435385397678,1.9992526154283703,1.684692343055366,1.3061032218272797,2.1738852563541227,1.8402085297608703,0.4729026453909838,1.275541702456045,1.9969055147001828,5.558508295152966,1.703580515841711,4.051885378889872,4.321784782959901,6.812615930136089,4.089193037116223,4.0877630450612195,6.445405378537873,6.44326236144818,1.1550322287909702,0.9294189257142927,5.638366484547878,5.638366484547878,6.231222302158067,6.498407597129074,4.193679481083853,4.1934866485702855,0.6423086412295951,0.6314777935779139,3.9550668860449303,3.9541701209931364,0.16094953342842247,0.1502981053621535,1.8681151909621,1.8747716195010213,2.008746131911315,2.0189158228822506,1.6980754586461153,1.7063205911762118,1.3106933285458247,1.325925962029075,2.1767277611733107,2.1752217914896015,1.8365720092769342,1.8356193153695954,0.47668673990531746,0.48628874555064233,1.2540644713734124,1.2035767625371565,2.0009544036962668,2.0025547923374285,5.068901610903039,4.8876073093705825,1.6210425308230585,1.4632938201677028,3.9263939002696824,3.6860102913152857,4.175279818442385,3.9484618700612835,6.807690588571108,6.803549291015457
2011-06-17,4.0877468112503665,6.451410139767333,1.1953460583484197,5.942977057757461,6.442735633712548,4.1940648894403285,0.894695681629272,3.9588074784637617,0.15226080375627,1.87500334122835,1.9995243655763095,1.6788559857569478,1.3065322295253121,2.1759175135815174,1.8391340460123966,0.4689378065095689,1.3394514488886007,1.9685296543496067,5.267028216997075,1.7834117394898121,4.052924683707729,4.348830372378482,6.817945293631089,4.091191456138923,4.089193037116223,6.44889267107357,6.445405378537873,1.379305517750582,1.1550322287909702,5.753789456863295,5.638366484547878,6.626143061720109,6.231222302158067,4.193872228015223,4.193679481083853,0.8043440147792008,0.6423086412295951,3.958774051911357,3.9550668860449303,0.16183749479064544,0.16094953342842247,1.8738435385397678,1.8681151909621,1.9992526154283703,2.008746131911315,1.684692343055366,1.6980754586461153,1.3061032218272797,1.3106933285458247,2.1738852563541227,2.1767277611733107,1.8402085297608703,1.8365720092769342,0.4729026453909838,0.47668673990531746,1.275541702456045,1.2540644713734124,1.9969055147001828,2.0009544036962668,5.558508295152966,5.068901610903039,1.703580515841711,1.6210425308230585,4.051885378889872,3.9263939002696824,4.321784782959901,4.175279818442385,6.812615930136089,6.807690588571108
2011-06-24,4.091207023098939,6.455819480530291,1.2432861460834461,6.139624820124087,6.169484377623583,4.194257465434999,1.2162821806041986,3.959294259433321,0.15442449496964994,1.878923723458555,1.9987031875091805,1.6835936188990812,1.3080305705682158,2.165125552777201,1.839492854345198,0.4580332002866406,1.3242824631493606,1.9598043339549578,5.243061295405881,1.7038484210485936,4.038302172199525,4.339987766803348,6.8232720330258205,4.0877468112503665,4.091191456138923,6.451410139767333,6.44889267107357,1.1953460583484197,1.379305517750582,5.942977057757461,5.753789456863295,6.442735633712548,6.626143061720109,4.1940648894403285,4.193872228015223,0.894695681629272,0.8043440147792008,3.9588074784637617,3.958774051911357,0.15226080375627,0.16183749479064544,1.87500334122835,1.8738435385397678,1.9995243655763095,1.9992526154283703,1.6788559857569478,1.684692343055366,1.3065322295253121,1.3061032218272797,2.1759175135815174,2.1738852563541227,1.8391340460123966,1.8402085297608703,0.4689378065095689,0.4729026453909838,1.3394514488886007,1.275541702456045,1.9685296543496067,1.9969055147001828,5.267028216997075,5.558508295152966,1.7834117394898121,1.703580515841711,4.052924683707729,4.051885378889872,4.348830372378482,4.321784782959901,6.817945293631089,6.812615930136089
2011-07-01,4.091163770777173,6.457162672774681,1.187520720836463,6.139624820124087,6.2264853742226975,4.1944499560749655,1.0913434439958996,3.9598567183413422,0.16127678121449351,1.8712809639449832,2.0223950281883716,1.7109080769025977,1.319834484360638,2.161158270258567,1.82570502769702,0.5047426398991243,1.2005769236230863,1.9774492385503342,5.182985041947788,1.7873826582784458,4.025428761407241,4.43036534858047,6.827029847884611,4.091207023098939,4.0877468112503665,6.455819480530291,6.451410139767333,1.2432861460834461,1.1953460583484197,6.139624820124087,5.942977057757461,6.169484377623583,6.442735633712548,4.194257465434999,4.1940648894403285,1.2162821806041986,0.894695681629272,3.959294259433321,3.9588074784637617,0.15442449496964994,0.15226080375627,1.878923723458555,1.87500334122835,1.9987031875091805,1.9995243655763095,1.6835936188990812,1.6788559857569478,1.3080305705682158,1.3065322295253121,2.165125552777201,2.1759175135815174,1.839492854345198,1.8391340460123966,0.4580332002866406,0.4689378065095689,1.3242824631493606,1.3394514488886007,1.9598043339549578,1.9685296543496067,5.243061295405881,5.267028216997075,1.7038484210485936,1.7834117394898121,4.038302172199525,4.052924683707729,4.339987766803348,4.348830372378482,6.8232720330258205,6.817945293631089
2011-07-08,4.089917928233763,6.457897482632587,1.1556396337597763,6.1939667569378685,5.914134754056327,4.194835531623056,1.0577302104545514,3.9662121531616235,0.1572909114953603,1.8761023231407115,2.0239490032609404,1.7192273006786143,1.3268477067214177,2.176814480674777,1.833701998148701,0.47943134186682357,1.2027606821997767,1.9831750582606655,5.123975467743107,1.713363247468591,3.930847191682497,4.329458900059722,6.830559800293369,4.091163770777173,4.091207023098939,6.457162672774681,6.455819480530291,1.187520720836463,1.2432861460834461,6.139624820124087,6.139624820124087,6.2264853742226975,6.169484377623583,4.1944499560749655,4.194257465434999,1.0913434439958996,1.2162821806041986,3.9598567183413422,3.959294259433321,0.16127678121449351,0.15442449496964994,1.8712809639449832,1.878923723458555,2.0223950281883716,1.9987031875091805,1.7109080769025977,1.6835936188990812,1.319834484360638,1.3080305705682158,2.161158270258567,2.165125552777201,1.82570502769702,1.839492854345198,0.5047426398991243,0.4580332002866406,1.2005769236230863,1.3242824631493606,1.9774492385503342,1.9598043339549578,5.182985041947788,5.243061295405881,1.7873826582784458,1.7038484210485936,4.025428761407241,4.038302172199525,4.43036534858047,4.339987766803348,6.827029847884611,6.8232720330258205
2011-07-15,4.090706735513667,6.4591019561671255,1.1401936785786313,6.1939667569378685,5.81523282886086,4.195220765152895,1.0972387517382227,3.965953889102063,0.15098003266875235,1.8758133729629383,2.015102628243649,1.7104578663134822,1.3219089861790223,2.190891708382469,1.8373293278962035,0.46359440104759025,1.2907022585569967,1.9878449406304393,5.062811296210968,1.6988634159241687,3.9110510203281263,4.334956116136852,6.8340167428126195,4.089917928233763,4.091163770777173,6.457897482632587,6.457162672774681,1.1556396337597763,1.187520720836463,6.1939667569378685,6.139624820124087,5.914134754056327,6.2264853742226975,4.194835531623056,4.1944499560749655,1.0577302104545514,1.0913434439958996,3.9662121531616235,3.9598567183413422,0.1572909114953603,0.16127678121449351,1.8761023231407115,1.8712809639449832,2.0239490032609404,2.0223950281883716,1.7192273006786143,1.7109080769025977,1.3268477067214177,1.319834484360638,2.176814480674777,2.161158270258567,1.833701998148701,1.82570502769702,0.47943134186682357,0.5047426398991243,1.2027606821997767,1.2005769236230863,1.9831750582606655,1.9774492385503342,5.123975467743107,5.182985041947788,1.713363247468591,1.7873826582784458,3.930847191682497,4.025428761407241,4.329458900059722,4.43036534858047,6.830559800293369,6.827029847884611
