Date,BalanceSheet_global,BalanceSheet_usa,BTC_USD,Mining_Difficulty,USD_OnChain_Volume,GDP_usa,HashRate,M2_Liquidity,EURUSD=X,DX-Y.NYB,SPY,QQQ,IWDA.AS,GLD,TLT,^TNX,^VIX,Miners_Revenue_USD,Nr_Tx_Block,Nr_Transactions,Nr_Addresses,BTC_PageViews,Crypto_PageViews,BTC_Supply,L1.BalanceSheet_global,L2.BalanceSheet_global,L1.BalanceSheet_usa,L2.BalanceSheet_usa,L1.BTC_USD,L2.BTC_USD,L1.Mining_Difficulty,L2.Mining_Difficulty,L1.USD_OnChain_Volume,L2.USD_OnChain_Volume,L1.GDP_usa,L2.GDP_usa,L1.HashRate,L2.HashRate,L1.M2_Liquidity,L2.M2_Liquidity,L1.EURUSD=X,L2.EURUSD=X,L1.DX-Y.NYB,L2.DX-Y.NYB,L1.SPY,L2.SPY,L1.QQQ,L2.QQQ,L1.IWDA.AS,L2.IWDA.AS,L1.GLD,L2.GLD,L1.TLT,L2.TLT,L1.^TNX,L2.^TNX,L1.^VIX,L2.^VIX,L1.Miners_Revenue_USD,L2.Miners_Revenue_USD,L1.Nr_Tx_Block,L2.Nr_Tx_Block,L1.Nr_Transactions,L2.Nr_Transactions,L1.Nr_Addresses,L2.Nr_Addresses,L1.BTC_PageViews,L2.BTC_PageViews,L1.Crypto_PageViews,L2.Crypto_PageViews,L1.BTC_Supply,L2.BTC_Supply
2018-06-22,4.223277375883832,6.635070970957512,3.7818608846263047,12.705649849527013,8.943487840918012,4.317336527010472,7.581072915588688,4.14947776424539,0.06467416001907955,1.9755236975361063,2.396212015025661,2.2262500576536053,1.6756867031059781,2.0804099939394667,2.0160111948045807,0.46239801218086946,1.1389339546944135,7.0955189037577675,3.130959672796441,5.30993662008961,5.671656871423057,4.1002671293576025,1.7708520116421442,7.2332382699787,4.223256408107669,4.222738637804411,6.635976672696801,6.63540240951449,3.8059566620737253,3.882383355072655,12.69378891371183,12.69378891371183,8.914699169943331,8.920464639971462,4.316985958042023,4.316635105860459,7.574926463297933,7.551603034715309,4.148947978999141,4.148630414219595,0.06320485174909543,0.0717065861110957,1.9767625274620853,1.9710438060034423,2.3999738042605827,2.399685839657872,2.2294141414442663,2.223136019172871,1.6776069387986277,1.673435644290129,2.0840039775007777,2.0899404260407297,2.0154705867813805,2.0123932268776468,0.4659773719686418,0.46790395188155703,1.0784568014586147,1.0856472991783144,7.119875396994356,7.149662949659467,3.1288826472764826,3.140484202674766,5.313574078094082,5.301852204909743,5.677846843279393,5.6788696785754285,4.1038379160256095,4.40039982205382,1.6901960800285136,1.8976270912904414,7.232883395078623,7.2325644586693185
2018-06-29,4.224386672668138,6.634022685738859,3.7926577884490373,12.705649849527013,8.814932450147465,4.317686813222662,7.581072915588688,4.145733889740706,0.06306925270425523,1.9760288274859747,2.390708093080309,2.2170623549953974,1.6702922524104984,2.074267748138531,2.0202780728273644,0.45469244575045903,1.2065560482176174,7.0579327789447746,3.117427149130047,5.296404096423216,5.656147093341467,4.149988456491476,1.5563025007672873,7.233575418092162,4.223277375883832,4.223256408107669,6.635070970957512,6.635976672696801,3.7818608846263047,3.8059566620737253,12.705649849527013,12.69378891371183,8.943487840918012,8.914699169943331,4.317336527010472,4.316985958042023,7.581072915588688,7.574926463297933,4.14947776424539,4.148947978999141,0.06467416001907955,0.06320485174909543,1.9755236975361063,1.9767625274620853,2.396212015025661,2.3999738042605827,2.2262500576536053,2.2294141414442663,1.6756867031059781,1.6776069387986277,2.0804099939394667,2.0840039775007777,2.0160111948045807,2.0154705867813805,0.46239801218086946,0.4659773719686418,1.1389339546944135,1.0784568014586147,7.0955189037577675,7.119875396994356,3.130959672796441,3.1288826472764826,5.30993662008961,5.313574078094082,5.671656871423057,5.677846843279393,4.1002671293576025,4.1038379160256095,1.7708520116421442,1.6901960800285136,7.2332382699787,7.232883395078623
2018-07-06,4.224830386489359,6.632433400269339,3.819676835637504,12.72946273513966,8.907290386275942,4.318036817134348,7.6300288365640885,4.149597800140333,0.06803386637507007,1.97331262468098,2.3972857417318876,2.2269678615835153,1.6706632546028748,2.075035728152313,2.024920026204737,0.4519398831173092,1.1261314035446277,7.126630041487626,3.0990609498177433,5.303180932473668,5.723798703054827,4.091103944090286,1.568201724066995,7.23388474240196,4.224386672668138,4.223277375883832,6.634022685738859,6.635070970957512,3.7926577884490373,3.7818608846263047,12.705649849527013,12.705649849527013,8.814932450147465,8.943487840918012,4.317686813222662,4.317336527010472,7.581072915588688,7.581072915588688,4.145733889740706,4.14947776424539,0.06306925270425523,0.06467416001907955,1.9760288274859747,1.9755236975361063,2.390708093080309,2.396212015025661,2.2170623549953974,2.2262500576536053,1.6702922524104984,1.6756867031059781,2.074267748138531,2.0804099939394667,2.0202780728273644,2.0160111948045807,0.45469244575045903,0.46239801218086946,1.2065560482176174,1.1389339546944135,7.0579327789447746,7.0955189037577675,3.117427149130047,3.130959672796441,5.296404096423216,5.30993662008961,5.656147093341467,5.671656871423057,4.149988456491476,4.1002671293576025,1.5563025007672873,1.7708520116421442,7.233575418092162,7.2332382699787
2018-07-13,4.2237144739381005,6.632578857377329,3.7944761957652284,12.72946273513966,8.829013148899184,4.318228134829149,7.581244891373226,4.15074723210584,0.0669178407572339,1.9765792186401099,2.4038119088232275,2.236749029383263,1.6783362495118812,2.0704442522267716,2.0248137335997116,0.4519398831173092,1.0856472991783144,7.063714607764049,3.162526807620214,5.3178628450852745,5.675021790797683,4.108903127667313,1.8195439355418688,7.234207143230715,4.224830386489359,4.224386672668138,6.632433400269339,6.634022685738859,3.819676835637504,3.7926577884490373,12.72946273513966,12.705649849527013,8.907290386275942,8.814932450147465,4.318036817134348,4.317686813222662,7.6300288365640885,7.581072915588688,4.149597800140333,4.145733889740706,0.06803386637507007,0.06306925270425523,1.97331262468098,1.9760288274859747,2.3972857417318876,2.390708093080309,2.2269678615835153,2.2170623549953974,1.6706632546028748,1.6702922524104984,2.075035728152313,2.074267748138531,2.024920026204737,2.0202780728273644,0.4519398831173092,0.45469244575045903,1.1261314035446277,1.2065560482176174,7.126630041487626,7.0579327789447746,3.0990609498177433,3.117427149130047,5.303180932473668,5.296404096423216,5.723798703054827,5.656147093341467,4.091103944090286,4.149988456491476,1.568201724066995,1.5563025007672873,7.23388474240196,7.233575418092162
2018-07-20,4.223933947287309,6.632620754562506,3.8653367604433986,12.714218327039594,8.910325357010256,4.3184193682807805,7.598185166644562,4.150458623531776,0.06651775822909997,1.9752479370314024,2.4039516386287327,2.2352472559523857,1.6785183859864534,2.0665495296654233,2.0178214369571723,0.461648565202139,1.109240956993866,7.160372339356998,3.1656816734049946,5.353202394241457,5.696234035025831,4.087000120795991,1.6812412373755872,7.2345375298697405,4.2237144739381005,4.224830386489359,6.632578857377329,6.632433400269339,3.7944761957652284,3.819676835637504,12.72946273513966,12.72946273513966,8.829013148899184,8.907290386275942,4.318228134829149,4.318036817134348,7.581244891373226,7.6300288365640885,4.15074723210584,4.149597800140333,0.0669178407572339,0.06803386637507007,1.9765792186401099,1.97331262468098,2.4038119088232275,2.3972857417318876,2.236749029383263,2.2269678615835153,1.6783362495118812,1.6706632546028748,2.0704442522267716,2.075035728152313,2.0248137335997116,2.024920026204737,0.4519398831173092,0.4519398831173092,1.0856472991783144,1.1261314035446277,7.063714607764049,7.126630041487626,3.162526807620214,3.0990609498177433,5.3178628450852745,5.303180932473668,5.675021790797683,5.723798703054827,4.108903127667313,4.091103944090286,1.8195439355418688,1.568201724066995,7.234207143230715,7.23388474240196
2018-07-27,4.223823954706784,6.631208394750405,3.9129067131320907,12.714218327039594,8.946701060108827,4.3186105175634,7.633380916955681,4.147926628274512,0.06606243872371843,1.9762582506568778,2.406645131191323,2.2319104770771006,1.684890213507316,2.063821063209091,2.0131209909734027,0.4712917166559047,1.1149444068124206,7.238963025936349,3.137871262853737,5.360587734001321,5.714143593643117,4.145289659054146,1.6127838567197355,7.234902119065299,4.223933947287309,4.2237144739381005,6.632620754562506,6.632578857377329,3.8653367604433986,3.7944761957652284,12.714218327039594,12.72946273513966,8.910325357010256,8.829013148899184,4.3184193682807805,4.318228134829149,7.598185166644562,7.581244891373226,4.150458623531776,4.15074723210584,0.06651775822909997,0.0669178407572339,1.9752479370314024,1.9765792186401099,2.4039516386287327,2.4038119088232275,2.2352472559523857,2.236749029383263,1.6785183859864534,1.6783362495118812,2.0665495296654233,2.0704442522267716,2.0178214369571723,2.0248137335997116,0.461648565202139,0.4519398831173092,1.109240956993866,1.0856472991783144,7.160372339356998,7.063714607764049,3.1656816734049946,3.162526807620214,5.353202394241457,5.3178628450852745,5.696234035025831,5.675021790797683,4.087000120795991,4.108903127667313,1.6812412373755872,1.8195439355418688,7.2345375298697405,7.234207143230715
2018-08-03,4.223154835252604,6.62896620896533,3.870263409947483,12.774475897164024,8.966658270309502,4.318801582751066,7.691030103972584,4.148284837325749,0.06393382673339505,1.9783631442977538,2.409996447275484,2.237883926737759,1.6847556166307913,2.060395610400166,2.013217295577423,0.47026345706349876,1.0659529931234208,7.1918152391219285,3.141353424935618,5.361461512975672,5.730477839955397,4.160318437984002,1.724275869600789,7.235238610145734,4.223823954706784,4.223933947287309,6.631208394750405,6.632620754562506,3.9129067131320907,3.8653367604433986,12.714218327039594,12.714218327039594,8.946701060108827,8.910325357010256,4.3186105175634,4.3184193682807805,7.633380916955681,7.598185166644562,4.147926628274512,4.150458623531776,0.06606243872371843,0.06651775822909997,1.9762582506568778,1.9752479370314024,2.406645131191323,2.4039516386287327,2.2319104770771006,2.2352472559523857,1.684890213507316,1.6785183859864534,2.063821063209091,2.0665495296654233,2.0131209909734027,2.0178214369571723,0.4712917166559047,0.461648565202139,1.1149444068124206,1.109240956993866,7.238963025936349,7.160372339356998,3.137871262853737,3.1656816734049946,5.360587734001321,5.353202394241457,5.714143593643117,5.696234035025831,4.145289659054146,4.087000120795991,1.6127838567197355,1.6812412373755872,7.234902119065299,7.2345375298697405
2018-08-10,4.222425963626808,6.629208716939917,3.789115852972862,12.774475897164097,8.880961157760833,4.31899256391774,7.716434683746752,4.151345330459632,0.06160038070402231,1.98389679407716,2.4093222023884926,2.2389439686971113,1.6897527029081125,2.0595255619835178,2.0184315409225446,0.45591025748904584,1.1192558842423683,7.157291520106137,3.1088800834859858,5.354392751300135,5.707595722080821,4.11048869983667,1.5185139398778875,7.2355858861290985,4.223154835252604,4.223823954706784,6.62896620896533,6.631208394750405,3.870263409947483,3.9129067131320907,12.774475897164024,12.714218327039594,8.966658270309502,8.946701060108827,4.318801582751066,4.3186105175634,7.691030103972584,7.633380916955681,4.148284837325749,4.147926628274512,0.06393382673339505,0.06606243872371843,1.9783631442977538,1.9762582506568778,2.409996447275484,2.406645131191323,2.237883926737759,2.2319104770771006,1.6847556166307913,1.684890213507316,2.060395610400166,2.063821063209091,2.013217295577423,2.0131209909734027,0.47026345706349876,0.4712917166559047,1.0659529931234208,1.1149444068124206,7.1918152391219285,7.238963025936349,3.141353424935618,3.137871262853737,5.361461512975672,5.360587734001321,5.730477839955397,5.714143593643117,4.160318437984002,4.145289659054146,1.724275869600789,1.6127838567197355,7.235238610145734,7.234902119065299
2018-08-17,4.223348943878213,6.626229880304808,3.8189618542397326,12.805454427864165,8.89376974770652,4.319183461137286,7.6837441345774415,4.151599655958036,0.05581354038336891,1.9827233807728035,2.4122264311235906,2.237353144920882,1.6884643198243547,2.0497218115145555,2.019581883184225,0.4583356118641372,1.1017470857425036,7.09475706056746,3.186989773456207,5.368833361400981,5.709528594529109,4.0910687315000125,1.5563025007672873,7.235927208714402,4.222425963626808,4.223154835252604,6.629208716939917,6.62896620896533,3.789115852972862,3.870263409947483,12.774475897164097,12.774475897164024,8.880961157760833,8.966658270309502,4.31899256391774,4.318801582751066,7.716434683746752,7.691030103972584,4.151345330459632,4.148284837325749,0.06160038070402231,0.06393382673339505,1.98389679407716,1.9783631442977538,2.4093222023884926,2.409996447275484,2.2389439686971113,2.237883926737759,1.6897527029081125,1.6847556166307913,2.0595255619835178,2.060395610400166,2.0184315409225446,2.013217295577423,0.45591025748904584,0.47026345706349876,1.1192558842423683,1.0659529931234208,7.157291520106137,7.1918152391219285,3.1088800834859858,3.141353424935618,5.354392751300135,5.361461512975672,5.707595722080821,5.730477839955397,4.11048869983667,4.160318437984002,1.5185139398778875,1.724275869600789,7.2355858861290985,7.235238610145734
2018-08-24,4.223332729273373,6.626218994369747,3.8266552025434706,12.813249904792489,8.819897376784873,4.319374274483472,7.674048879345431,4.151268697198816,0.06233169274552209,1.9784087995876298,2.415943193564782,2.2436336740912806,1.6863233807911016,2.0575139740382116,2.02425922614521,0.4511721537020081,1.0788191748084301,7.087734906964157,3.1777696633279184,5.3421225191123565,5.688411812399472,4.103632705209741,2.296665190261531,7.236260701179839,4.223348943878213,4.222425963626808,6.626229880304808,6.629208716939917,3.8189618542397326,3.789115852972862,12.805454427864165,12.774475897164097,8.89376974770652,8.880961157760833,4.319183461137286,4.31899256391774,7.6837441345774415,7.716434683746752,4.151599655958036,4.151345330459632,0.05581354038336891,0.06160038070402231,1.9827233807728035,1.98389679407716,2.4122264311235906,2.4093222023884926,2.237353144920882,2.2389439686971113,1.6884643198243547,1.6897527029081125,2.0497218115145555,2.0595255619835178,2.019581883184225,2.0184315409225446,0.4583356118641372,0.45591025748904584,1.1017470857425036,1.1192558842423683,7.09475706056746,7.157291520106137,3.186989773456207,3.1088800834859858,5.368833361400981,5.354392751300135,5.709528594529109,5.707595722080821,4.0910687315000125,4.11048869983667,1.5563025007672873,1.5185139398778875,7.235927208714402,7.2355858861290985
