Date,JPY_EUR,BTC_PageViews,Crypto_PageViews,BTC_Supply,BTC_USD,Mining_Difficulty,USD_OnChain_Volume,M2_Liquidity,EUR_USD,JPY_USD,SPY,QQQ,EXSA,JPXN,IWDA,GLD,SLV,TLT,BND,Nr_Transactions,Nr_Addresses
2010-09-24,0.0088799996301531,,,4091750.0,1.165714320627842e-07,9.694689495631792e-12,-1.1680406905023588e-06,-0.008557513865344424,0.2158283773149583,0.11001133982813949,0.01474093453266545,0.012405778336885387,0.007911847878137257,0.04504261970632184,-0.010620442257469387,0.07794084239535193,0.11581904582666423,0.06319314781634189,0.027030610905720565,0.0009556968873714045,0.0007166086710455044
2010-10-01,0.0087799998000264,,,4157600.0,-1.2767347290498776e-08,1.89610549483632e-11,3.9430088794034646e-07,-0.009960384990810756,0.26897406886407627,0.07939411686224873,-0.0013287029191353383,-0.0048285884751402275,-0.03639343020320385,0.0,-0.020252914486799778,0.0804784383534708,0.10295026295703494,0.05180277230362673,0.03459171102564307,0.000566591726084642,0.00036376074672372916
2010-10-08,0.0087099997326731,,,4206900.0,1.3810939190062044e-06,0.0,2.2846338620929885e-06,0.020902779769447433,0.27149902097646916,0.10310868713268206,0.012210288360628985,0.005497074329391394,0.026898570727701188,0.09074940716377222,0.010867481873507279,0.09969170440453501,0.17372872214798699,-0.01351740408214841,0.04793985726491834,-0.0015086358007794232,-0.0007929984278576274
2010-10-15,0.0087200002744793,,,4267300.0,1.0075102343520825e-06,2.8078650515794834e-12,-1.4472496763229259e-06,0.005284147905923131,0.12788046442464474,0.08087964549866689,0.007338917501739317,0.012925718914848394,0.02531705718105659,-0.00993451703820547,0.003704746278507809,0.07322769005504914,0.16407721169976247,-0.1369106557418598,-0.051066993376155834,-0.0002389242218427956,-0.0001855179808289975
2010-10-22,0.008840000256896,,,4349150.0,2.2204082306132022e-07,3.647071533663393e-11,-5.673744241097012e-07,0.005401053833045122,-0.1376881996206254,0.015310278119426535,0.004112120946492714,0.0011143143488436813,0.0166144525295977,-0.003975564906388174,0.008891541817230841,-0.14319342842290028,-0.15925130306765645,0.03847293485718084,0.029184652050308513,0.0018704353367127169,0.0013131762956721804
2010-10-29,0.0088900001719594,,,4423100.0,4.496326665770489e-06,0.0,2.7471333995388036e-06,-0.016530498095077784,-0.12323798122387619,-0.034044938630428234,0.0008859472888687048,0.004011396789827426,-0.01582283972729215,-0.04371884221804301,-0.0022228854543075993,0.10476689632077046,0.2268124898372066,-0.03327378636041556,0.0083415667808997,-0.0009215648556797351,-0.0008075488577263812
2010-11-05,0.0087000001221895,,,4492800.0,4.102204204881055e-06,4.459366209630389e-11,-5.812046345310407e-07,0.00879132571958885,0.3993826601103918,0.0816418539089987,0.026761176828586697,0.011068485518836324,0.04667712038681637,0.0881008754699335,0.02371071536727687,0.1363061025864919,0.3265457871888231,-0.07374883269970844,0.014416677114206244,-0.00017066015845901283,-0.00018915558829624146
2010-11-12,0.0089100003242492,,,4569900.0,2.386938847687148e-07,6.833544841100547e-11,-1.9706781847483867e-06,0.014776909188244813,-0.5388254157252932,-0.14642290223988863,-0.01594281549580434,-0.008617167350535526,-0.010284546212595558,-0.025171957767775588,0.004939755922684919,-0.09751670117678168,-0.10938480779984161,-0.07545565088365769,-0.08047120656514561,-0.0010649193887855013,-0.0006365813067663595
2010-11-19,0.0087599996477365,,,4646400.0,6.550204278976679e-07,1.102429258992288e-10,6.312814705422554e-07,0.004535949972340969,0.032203192678984305,-0.0979093369052495,0.000569328427214133,-0.000297186885440226,0.0023731263489497056,0.08545006476910522,0.0004939850140688318,-0.054014977158416466,0.19624901546584306,0.027121906316924793,-0.008364401139324018,0.06379959363838639,0.00031647184964955777
2010-11-26,0.0089600002393126,,,4701950.0,2.4424490530083887e-07,0.0,6.290171725265026e-06,-0.005564722131016442,-0.28189196091601065,-0.007683749652378724,-0.009426309725411697,0.0022286929195967087,-0.028480726296082892,-0.06822760895197089,0.01358425812387698,0.032989024032746284,-0.09812466114091412,0.016689992492555206,0.006271837113567713,-0.056782047922544265,0.002011596929381465
2010-12-03,0.0090300003066658,,,4768350.0,-1.8540408721623436e-06,5.729861030090433e-11,-6.0166402686689935e-06,0.00488666775370783,-0.10986398927234653,-0.010135371893442269,0.02587529182948045,0.008171242523078881,0.04509539283292585,0.10929661718646666,0.015066213166084585,0.17980782660485717,0.3973242463797768,-0.06436286072575359,-0.036700668949753545,-0.006348557894682028,-0.001724225939469859
2010-12-10,0.009010000154376,,,4846150.0,-2.6089796701933565e-06,1.9743551238349255e-10,-1.0801963161721773e-06,0.010264340401328065,0.023147863581876926,-0.005693785712312938,0.010059422869196366,0.004605866893572008,0.03322783502296556,-0.017222130244707312,0.02124088451493833,-0.09642919956290497,-0.09973329735161607,-0.060712378504218956,-0.09745528526103753,-7.509046972198341e-05,7.275214934487906e-05
2010-12-17,0.0089900000020861,,,4905800.0,1.9983674069967705e-06,0.0,2.1236328850982034e-07,0.0045125687869165265,-0.001867787291853995,-0.019814085395241543,0.002996698173394874,0.001025784446827549,-0.020569520439682742,0.023184338100795454,0.007409586775023014,-0.04386459332594567,0.08525587827128556,0.0031416456456574426,0.012571778052886895,0.0006075501641147341,0.00037467356912523897
