Date,JPY_EUR,BTC_PageViews,Crypto_PageViews,BTC_Supply,BTC_USD,Mining_Difficulty,USD_OnChain_Volume,M2_Liquidity,EUR_USD,JPY_USD,SPY,QQQ,EXSA,JPXN,IWDA,GLD,SLV,TLT,BND,Nr_Transactions,Nr_Addresses
2020-01-03,0.0082430001348257,14060.0,17.0,18139687.5,0.004767216469845015,0.04021697905665627,0.3276499651111523,0.0026888363238103674,0.06242219205925659,0.050119091796636706,-0.0034284285157379357,0.004667263038894698,-0.015513385249830147,-0.026562803176021332,-0.004692622088638854,0.1279678526741941,0.04182362103029147,0.08069758443785413,0.03939453774731927,-0.038821772846298175,-0.05975497786428735
2020-01-10,0.0082170004025101,12238.0,19.0,18153312.5,0.04721753611335411,0.0,-0.16514707780812146,0.0075988852629423065,-0.05355205433669585,-0.04837912332643887,0.02514039721413347,0.034800439785757975,0.0010024099394434494,0.024218681701449696,0.036306909245007735,0.038064215948981676,0.008042874237523812,-0.030485881457446906,-0.008147767482487467,0.09705101891257628,0.24518201850664728
2020-01-17,0.0081460000947117,5454.0,16.0,18166700.0,0.03910805015527702,0.046243127673406534,0.09801695980788662,-0.007505360521244647,0.025270685852392005,-0.03302717929536869,0.04753730413852919,0.04053237363758133,0.059549656223168435,0.016405920170158517,0.04346973905801521,-0.011963070907076087,-0.011260146658927384,-0.018830773401877332,0.01901692209192274,-0.04602363153327638,-0.10359906066688396
2020-01-24,0.0082520004361867,5298.0,19.0,18179875.0,-0.02570400077272611,0.0,-0.20940008203506688,-0.010778726480665524,-0.07488610068444401,0.030789997612891196,-0.024225485185805695,-0.005567911095385902,-0.010508611798973222,-0.01718696842258871,0.008397651021169183,0.050751919162354046,0.014477419080331067,0.18201260043477596,0.07607471432412916,-0.06898083604920746,-0.10094360721580165
2020-01-31,0.0083250002935528,4956.0,26.0,18192850.0,0.050539266825458395,0.032626706969134986,0.46176580135527534,-0.02635059597334169,-0.02316267889184065,0.03375716606732003,-0.05363173447973202,-0.02972369785295409,-0.12460571888140681,-0.16172061495827317,-0.08792744814416936,0.04893978524218105,-0.014477419080331067,0.17125865265134976,0.08287584015601879,0.14026217103444494,0.13998968576911386
2020-02-07,0.0082780001685023,5221.0,23.0,18205437.5,0.025874972206437474,0.0,-0.1542464779917369,0.015034102227913404,-0.04096962323179887,-0.0543551261469422,0.07976204059597503,0.08294824743209328,0.12610762173260426,0.1531268051745518,0.11534300400796155,-0.05582766423302174,-0.04504058663570998,-0.05514688295319936,-0.018657427320850184,0.0034405087945375,0.09600737388276226
2020-02-14,0.008399000391364,4973.0,76.0,18217687.5,0.030642188676282447,0.0038148770522301034,-0.09664178665692809,0.0007949603044312414,-0.12160723889144176,0.010378145271942363,0.041138152280266294,0.044544316313638366,0.071059393918111,-0.1007822470749391,0.05606593293574613,0.04386459332594565,0.003216965605418398,0.005391681255205283,0.008170016344540842,-0.060481960157939496,-0.12750905454902683
2020-02-21,0.008275999687612,5863.0,29.0,18230337.5,-0.03677606641170246,0.0,-0.15455745720452468,0.007294929852424359,-0.05147685270534996,-0.10660473489226582,-0.0313860670981454,-0.03578277811092151,-0.023520680359604085,-0.16015721616370465,-0.03112039636030728,0.20663360395305902,0.11581935264264898,0.15671555321917818,0.07351609518799296,0.08468839703379194,0.03900606487117264
2020-02-28,0.0082879997789859,5760.0,14.0,18243037.5,-0.054320622041176214,-0.002830278196898392,0.24601106338128595,-0.015151008155035589,0.18573636630580337,0.11146186909877784,-0.28355097097545845,-0.2003695313561619,-0.5049282677842062,-0.3171895881728344,-0.3825825840128996,-0.22910937484575405,-0.2815050471451206,0.3264652685771976,0.130695670665123,0.2055157892229036,0.13210335278014607
2020-03-06,0.0083839995786547,6136.0,62.0,18256825.0,0.02448555175650466,0.0,-0.07619142266533765,0.03752680260622282,0.20117391928799133,0.17468683451630712,0.009141645511804214,0.018178139880634325,-0.09407929732248607,-0.017968667819872386,-0.04766847035059221,0.33242645339949967,0.10455905257572873,0.5256755520520828,0.18729560473612583,-0.20620525626307873,-0.03480462824651498
2020-03-13,0.0085460003465414,8899.0,30.0,18269225.0,-0.1958294589483449,0.050426025404432556,0.4379370522371911,0.03175164980638648,-0.03454718636252696,0.08791007365645867,-0.21437669501231552,-0.1283937255774975,-0.6545559278546771,-0.5406286425495912,-0.3489923568002532,-0.5173094719205922,-0.40054136539318774,-0.5769855321763688,-0.5783884438955313,-0.4204042343483864,0.18718400504903498
2020-03-20,0.0084300003945827,5774.0,17.0,18279287.5,0.03185508667192877,0.0,-0.25228824433254926,0.04528935616713636,-0.4683458115186301,-0.3423165746912419,-0.29844108948877784,-0.17719595447993902,-0.0876699943172834,-0.0609373911660529,-0.05581908175572295,-0.11491728015324129,-0.3329800252156452,0.24689040988746935,-0.21144147502771748,0.0532186638139161,-0.3215936009634087
2020-03-27,0.0082919998094439,5699.0,17.0,18290562.5,0.009789779886141936,-0.12490014871790342,-0.32548493479700324,0.08765606415621757,0.347019005280073,0.10718972429168645,0.18866385488285445,0.12278317113431375,0.20631068923581963,0.4093767231743439,0.09212617943674595,0.4400935384087522,0.29276504039605533,0.37192133602224553,0.5306412149362855,-0.054938918211184795,-0.12932058306771044
2020-04-03,0.0085330000147223,6772.0,29.0,18303437.5,0.020032523051207007,0.0,-0.08159953871097941,0.0985049341931567,-0.17830543012257494,0.056088428071333074,-0.040077482208209864,-0.015836994397794974,-0.02811070776805169,-0.29843987210053113,-0.00296391008441535,0.014500390287977616,0.003217272421403683,0.046925275756477536,0.012523767350561377,0.015134142852161636,0.06948921544661119
